1|17|Public
5000|$|El <b>afilador</b> <b>de</b> <b>cuchillos.</b> Barcelona: El Acantilado. Quaderns Crema, 1999.|$|E
5000|$|Salir corriendo, {{featured}} in the soundtrack to Flores para Maika (Flowers For Maika), a short film about domestic violence. Noche <b>de</b> <b>cuchillos,</b> {{featured in}} Otro corto con niños (Another Short Film with Children).|$|R
50|$|Kapitan Bindoy Hilario/Herminigildo Prado - led the {{opposition}} against the Spanish colonizers {{who wanted to}} pursue the Juez <b>de</b> <b>Cuchillo</b> in 1897 and won; became the municipal captain of Bustos; became the coordinator of 11th district of Bulacan under the American Colonization consisting of Barangay Poblacion and Barangay Tanauan; became the first chief-of-police of the municipality of Baliuag.|$|R
5000|$|Juez <b>De</b> <b>cuchillo</b> - {{held every}} 19 October {{to commemorate the}} capture and {{beheading}} of 79 innocent civilians in Batan on October 19, 1943 by the Japanese Imperial Army. A simple program is always held {{at the site of}} the building where the victims were slaughtered. A marker was established by local official and relatives of the victims of Japanese atrocities.|$|R
50|$|Her first acting {{breakthrough}} was in 1990 {{when she}} was selected {{to participate in the}} film by Román Chalbaud titled <b>Cuchillos</b> <b>de</b> fuego.|$|R
50|$|A notable knuckle knife {{still in}} use is the <b>Cuchillo</b> <b>de</b> Paracaidista, issued to Argentinian paratroopers. Current-issue models have an {{emergency}} blade in the crossguard.|$|R
5000|$|At the {{appointed}} date and time, the Cabiao band {{began to play}} {{in front of the}} garrison. Machorro, roused from his siesta by the music, peeped out from his second floor quarters and saw Capitan Valmonte and Capitan Llanera below, and dressed up to meet them.Unknown to Valmonte and Llanera, a son of the detained Marcos Ventus, Manuel, had sneaked under the stairway of the garrison, armed with a gun and intent on avenging the arrest and imprisonment of his father.When Machorro descended the stairs, Manuel emerged from his hiding place and fired, fatally hitting the Spanish official.The result was chaos. The panic stricken guardia civil secured the garrison, wondering what could happen next. The Gapan and Cabiao delegations rushed home shocked, frustrated and scared after the unexpected and tragic turn of events.The result of the death of Machorro was described by Lolo Joaquin as juez <b>de</b> <b>cuchillo,</b> literally 'justice by the knife.’ Ramon Valmonte ...|$|R
5000|$|The AB-0200 (Spanish: <b>Cuchillo</b> <b>de</b> Combate de Fabricaciones Militares Modelo AB-0200) is a {{survival}} knife of Argentine origin manufactured by Fabricaciones Militares (DGFM) {{in the city}} of Rosario, province of Santa Fe, Argentina.|$|R
50|$|For {{the last}} ten years, access to the highest summits has been very difficult, and this {{situation}} continues, http://www.summitpost.org/sierra-nevada-de-santa-marta/317419 {{although there is a}} documented ascent of Pico Cristóbal Colón in December 2015. The only safe and relatively straight forward access is from Santa Marta city to <b>Cuchillo</b> <b>de</b> San Lorenzo, but that is only to 2800 m (although it provides excellent views of the peaks).|$|R
5000|$|Andallón is {{believed}} to be the historical site of Andalionis, a 4th-century Roman villa and town that existed in Spain sometime between the years 300 and 400. [...] Roman relics from Andalionis including “el Mosaico de Andallón” (the Mosaic of Andallón), “la Pulsera de Andallón” (the Bracelet of Andallón), and “el <b>Cuchillo</b> <b>de</b> Andallón” (the Knife of Andallón), along with related historical accounts, are showcased at the Museo Arqueológico de Asturias (Archaeological Museum of Asturias).|$|R
40|$|The skull {{morphology}} of Allosaurus {{has been}} the subject of functional interpretations which imply a predatory behaviour radically different from that recorded in any predatory land vertebrate. Those interpretations imply the use of the skull and maxillary dentition as analogues of hand-held, man-made weapons, incorporating the inertia of the predator's dash toward prey to add to the effect of the impact, and using wide jaw gapes as a way to keep the mandible out of the way of such blows. We re-interpret the evident adaptations for gape and for recruitment of neck muscles in head depression of Allosaurus in terms of a muscle-powered bite directed at surfaces with moderate convexity, such as the bodies of very large pres. In our model, the forces leading to penetration of the teeth are generated in the context of the opposition between the maxillary and the mandible. This interpretation allows us to incorporate al 1 the observed adaptations of the Allosaurus skull, while avoiding the problems created by previous models. La morfología craneal de Allosaurus ha sido objeto de interpretaciones funcionales que implican un comportamiento depredador radicalmente distinto para el inferido para cualquier vertebrado depredador terrestre. Esas interpretaciones implican el uso de la dentición superior e inferior como análogos <b>de</b> <b>cuchillos</b> o dagas manufacturadas por el hombre, incorporando la inercia del golpe del depredador contra la presa para añadir el efecto del impacto, y usando amplias aperturas mandibulares para mantener la mandíbula fuera de la línea de acción del impacto. Reinterpretamos las evidentes adaptaciones para amplias aberturas mandibulares, y para la utilización de la musculatura cervical en la depresih de la cabeza de Allosaurus en función de una mordida basada en la fuerza muscular dirigida a superficies moderadamente convexas, como el cuerpo de una gran presa. En nuestro modelo, las fuerzas que producen la penetración son generadas en el contexto de una oposición entre el maxilar y la mandíbula. Esta interpretación nos permite incorporar todas las adaptaciones observadas en el cráneo de Allosaurus, al mismo tiempo que se evitan los problemas creados por modelos alternativos...|$|R
