1|299|Public
5000|$|... #Subtitle level 3: <b>Armour</b> <b>piercing</b> <b>shell</b> / Anti bunker missile ...|$|E
50|$|Base fuzes {{are also}} used by {{artillery}} and tanks for shells of the 'squash head' type. Some types of <b>armour</b> <b>piercing</b> <b>shells</b> have also used base fuzes, as have nuclear artillery shells.|$|R
50|$|During the Second World War {{he carried}} out work on <b>armour</b> <b>piercing</b> <b>shells</b> at the National Physical Laboratory and headed the Armament Research Laboratory at the Projectile Development Establishment at Fort Halstead, Kent.|$|R
50|$|Most {{artillery}} fuzes are nose fuzes. However, base fuzes {{have been}} used with <b>armour</b> <b>piercing</b> <b>shells</b> and for squash head (HESH or HEP) anti-tank shells. At least one nuclear shell and its non-nuclear spotting version also used a multi-deck mechanical time fuze fitted into its base.|$|R
50|$|Batterie Mirus was {{the largest}} {{artillery}} battery in the Channel Islands. Using four barrels taken from a 1917 Imperial Russian dreadnaught captured in Norway and resting on platforms manufactured by Friedrich Krupp A.G., these 30.5 cm guns had a potential range of 51 km with lightweight high explosive shells, weighing 250 kg or 31 km with the heavier 405 kg <b>armour</b> <b>piercing</b> <b>shells.</b> The battery became operational in June 1942.|$|R
5000|$|The site {{came into}} {{existence}} around 1941 when an armaments factory was built on a greenfield site {{to the north of}} Moseley Old Hall, to manufacture <b>armour</b> <b>piercing</b> <b>shells.</b> The site was in two parts with Hard Metal Tools Ltd (which became Royal Ordnance Speciality Metals) producing tungsten carbide heads, and the explosive and propellants filled at Royal Ordnance Factory Featherstone, (Filling Factory No. 17). [...] "The development also included a hostel for employees at Brinsford Lodge".|$|R
5|$|The {{failure of}} the {{majority}} of the shells to detonate may have had various causes. As the submarines fired <b>armour</b> <b>piercing</b> <b>shells,</b> intended for use against steel ship hulls, the relatively softer brick walls may have failed to trigger the impact fuses. Sea water may have degraded the shells, which the Japanese had stored in deck lockers for several weeks. The age of the shells may also have been a factor; some of the shells recovered from the Newcastle bombardment were found to be of English manufacture; surplus munitions from World War I.|$|R
50|$|Recently, APIS (<b>armour</b> <b>piercing</b> {{incendiary}} <b>shells)</b> {{have been}} used; these penetrate the target using the kinetic {{properties of the}} round before the incendiary round goes off, smothering the crew in flames, cooking off ammunition and igniting combustible materials, generally destroying the target.|$|R
2500|$|On 28 March, an IMAM Ro.43 {{floatplane}} {{launched by}} Vittorio Veneto spotted the British cruiser squadron at 06:35. At 07:55, the Trento group encountered Admiral Pridham-Wippell's cruiser group {{south of the}} Greek island of Gavdos. The British squadron was heading to the south-east. Thinking they were attempting to run from their larger ships, the Italians gave chase, opening fire at 08:12 from [...] The three heavy cruisers fired repeatedly until 08:55, with Trieste firing 132 <b>armour</b> <b>piercing</b> rounds, Trento firing 204 armour-piercing and 10 explosive shells and Bolzano firing another 189 <b>armour</b> <b>piercing</b> <b>shells,</b> but the Italians experienced trouble with their rangefinding equipment and scored no significant hits. HMS Gloucester fired three salvos in return. These fell short but did cause the Italians to make a course change.|$|R
50|$|After the First World War, {{the variety}} of {{ammunition}} was reduced, although an <b>armour</b> <b>piercing</b> HE <b>shell</b> was developed. The main change was introduction of a new streamlined HE shell, 4/7.5 crh, giving a significant improvement in range. In the 1930s, {{the new generation of}} double base propellant, Cordite W, was also adopted.|$|R
50|$|At the time, German (non-light) {{tanks were}} {{expected}} to carry out one of two primary tasks when assisting infantry in breakthroughs, and exploit gaps in the enemy lines where opposition had been removed, moving through and attacking the enemy's unprotected lines of communication and the rear areas. The first task was direct combat against other tanks and other armoured vehicles, requiring the tank to fire <b>armour</b> <b>piercing</b> (AP) <b>shells.</b>|$|R
