1|91|Public
5000|$|Parapristipoma octolineatum (Valenciennes, 1833) (<b>African</b> <b>striped</b> <b>grunt)</b> ...|$|E
50|$|Blue <b>striped</b> <b>grunts</b> {{are also}} valued as a {{specimen}} for public aquariums.|$|R
50|$|The blue <b>striped</b> <b>grunt</b> is edible, {{and when}} caught, is marketed fresh. It is only of minor {{commercial}} importance, however. There {{have been reports}} of ciguatera poisoning from consumption of this fish.|$|R
5000|$|The blue <b>striped</b> <b>grunt</b> (Haemulon sciurus), also bluestriped grunt, is a {{subtropical}} {{species of}} grunt {{native to the}} western Atlantic Ocean. [...] It was described by the English naturalist George Shaw in 1803.|$|R
50|$|The blue <b>striped</b> <b>grunt</b> {{is found}} in mangroves, {{seagrass}} beds, dropoffs and coral reefs at depths up to 30 meters. Its range includes the Western Atlantic, Florida, Gulf of Mexico, and the Caribbean down to Brazil.|$|R
50|$|The blue <b>striped</b> <b>grunt</b> {{commonly}} {{grows to}} {{a length of}} 20 to 25 cm (8 to 10 inches), and its maximum recorded length is 46 cm (18 inches). The maximum reported age is 12 years. It can weigh up to 750 grams.|$|R
50|$|The white grunt {{is found}} near mangroves, reefs, docks, and nearly {{any sort of}} {{structure}} in its range, which extends in the Western Atlantic from Chesapeake Bay through the Caribbean and Gulf of Mexico down to Brazil. It normally lives in depths {{similar to that of}} its relative, the blue <b>striped</b> <b>grunt,</b> from 0-30m in depth.|$|R
50|$|The {{mangrove}} forests act as nurseries {{for many}} fish species. Adult blue <b>striped</b> <b>grunts,</b> French grunts, white grunts, gray snappers, French angelfish, gray angelfish, and seahorses {{may also be}} found among the mangroves. The seagrass beds have parrotfish, hogfish, and occasional turtles. Manatees are rare visitors. Shark Ray Alley has nurse sharks, rays, and occasionally other fish.|$|R
5000|$|... #Caption: Trachylepis striata, <b>African</b> <b>striped</b> skink, Kruger Park ...|$|R
5000|$|Nyeusi - A {{stealthy}} <b>African</b> <b>striped</b> skink {{that works}} with Shupavu.|$|R
5000|$|This fish {{is closely}} related to the blue <b>striped</b> <b>grunt</b> (Haemulon sciurus) and the French grunt (Haemulon flavolineatum). The white grunt is often seen {{schooling}} with those species. The familiar [...] "grunt" [...] that this fish makes is caused by its pharyngeal teeth grinding in the back of its throat. This sound is normally made when the fish is distressed or in danger, such as when being caught by an angler.|$|R
50|$|<b>African</b> <b>striped</b> {{squirrels}} {{have been}} implicated in the spread of human monkeypox in the Democratic Republic of the Congo.|$|R
50|$|The <b>African</b> <b>striped</b> weasel (Poecilogale albinucha), {{the lone}} member of its genus, is a small, {{black and white}} weasel native to sub-Saharan Africa.|$|R
5000|$|<b>African</b> <b>striped</b> {{squirrels}} (genus [...] Funisciurus), or rope squirrels, form a taxon of squirrels {{under the}} subfamily Xerinae and the tribe Protoxerini. They are only found in western and central Africa.|$|R
50|$|Poromera is a genus {{of western}} Central African lacertid lizards {{of the family}} Lacertidae. The genus Poromera is monotypic, {{containing}} the single species, Poromera fordii, {{commonly known as the}} West <b>African</b> <b>striped</b> lizard.|$|R
40|$|The {{timing of}} {{reproduction}} of many species depends on seasonal changes in prolactin secretion. Photoperiod coincides with annual seasonal changes and typically regulates prolactin secretion. However, when environmental conditions are unpredictable, other ecological factors {{may contribute to}} prolactin regulation. In <b>African</b> <b>striped</b> mice (Rhabdomys pumilio), males show seasonal changes in reproduction and in prolactin levels, but unexpected increases of food availability out of the regular breeding season can also induce reproduction. We measured prolactin levels in free-ranging male <b>African</b> <b>striped</b> mice during three periods: (1) the natural breeding in spring with increasing photoperiod; (2) the natural nonbreeding season in summer (dry season) with decreasing photoperiod; and (3) during two summers with unexpected rainfall inducing breeding in the population. Here, we report that breeding males showed increased prolactin levels when they were breeding independently of increases and decreases in day length. Also, we found a positive correlation (P = 0. 05) between the availability of food plants and prolactin levels. Changes in prolactin levels in opportunistically breeding species like the <b>African</b> <b>striped</b> mouse are not strictly regulated by photoperiod, but seem to respond to cues from food availability...|$|R
50|$|The <b>African</b> <b>striped</b> skink (Trachylepis striata), {{commonly}} called the striped skink, is {{a species of}} lizard in the skink family (Scincidae). The species is widespread in East Africa and Southern Africa. It is not a close relation to the Australian striped skink, Ctenotus taeniolatus.|$|R
50|$|Haemulon plumierii, {{the white}} grunt or common grunt, is {{a species of}} ray-finned fish in the family Haemulidae native to the western Atlantic Ocean. It grows to a length of about 30 cm and is a silvery-cream color, with narrow yellow and blue {{longitudinal}} stripes, but can modify its color somewhat to match its surroundings. It {{is closely related to}} the blue <b>striped</b> <b>grunt</b> and the French grunt and often schools with these species. It feeds on shrimp, other crustaceans, annelids and mollusks, and is preyed on by larger piscivores such as barracuda and shark. It is sometimes caught by anglers as a game fish and its white flesh can be eaten. It is also a popular aquarium fish.|$|R
40|$|During early {{demersal}} ontogeny, many {{marine fishes}} display complex habitat-use patterns. Grunts of the speciose genus Haemulon {{are among the}} most abundant fishes on western North Atlantic coral reefs, with most species settling to shallow habitats (≤ 12 m). To gain understanding into cross-shelf distributional patterns exhibited by newly settled stages of grunts (3 ̆c 2 cm total length), we examined: 1) depth-specific distributions of congeners at settlement among sites at 8 m, 12 m, and 21 m, and 2) depth-variable predation pressure on newly settled individuals (species pooled). Of the six species identified from collections of newly settled specimens (n = 2125), Haemulon aurolineatum (tomtate), H. flavolineatum(French grunt), and H. striatum (<b>striped</b> <b>grunt)</b> comprised 98...|$|R
50|$|The Saharan striped polecat, {{also known}} as the Saharan striped weasel, Libyan striped weasel, and the North <b>African</b> <b>striped</b> weasel (Ictonyx libycus) is a species of mammal in the family Mustelidae. This animal is {{sometimes}} characterized as being a part of the genus Poecilictis, and its coloration resembles that of the striped polecat.|$|R
50|$|Trachylepis punctatissima, {{commonly}} called the montane speckled skink, is a lizard in the skink family (Scincidae) which is widespread in southern Africa. The common and adaptable species {{occurs in a}} variety of habitat types at middle to high altitudes. It was for a time treated as a southern race of the <b>African</b> <b>striped</b> skink, T. striata.|$|R
50|$|<b>African</b> <b>striped</b> weasels inhabit much of Africa {{south of}} the equator. They are found from the Democratic Republic of the Congo across to Kenya in the north, and {{as far south as}} {{southern}} South Africa. Within this region, they are most common in savannah habitats, but may also be found in forests and grasslands. They commonly live below 1500 m elevation, but may occasionally be found as high as 2200 m.|$|R
