1|4254|Public
50|$|Mi-6BUS:(NATO - Hook-C) (Also Mi-6AYa and Mi-22) <b>airborne</b> <b>command</b> <b>post</b> <b>helicopter</b> of 1975.|$|E
50|$|Mi-22: VVS {{designation}} of the Mi-6AYa/VzPU <b>airborne</b> <b>command</b> <b>post</b> <b>helicopters.</b>|$|R
50|$|Mi-6VKP: (NATO - Hook-B) (VKP - vozdooshnnyy poonkt - <b>airborne</b> <b>command</b> <b>post)</b> <b>Command</b> <b>post</b> {{transport}} <b>helicopter</b> {{to deploy}} comms and war {{room on the}} ground, not usable in flight.|$|R
25|$|<b>Airborne</b> <b>command</b> <b>post</b> version.|$|R
25|$|Mi-27: Proposed <b>airborne</b> <b>command</b> <b>post</b> variant; two prototypes built.|$|R
50|$|Mi-6VUS :(NATO - Hook-D) <b>airborne</b> <b>command</b> <b>post</b> with SLAR.|$|R
5000|$|Boeing EC-135 (Looking Glass, <b>Post</b> Attack <b>Airborne</b> <b>Command</b> <b>Post)</b> ...|$|R
50|$|<b>Airborne</b> <b>command</b> <b>post</b> version. Two {{operated}} for the Russian President.|$|R
5000|$|... #Caption: National Emergency <b>Airborne</b> <b>Command</b> <b>Post</b> {{internal}} configuration, April 1976 ...|$|R
5000|$|... 1st <b>Airborne</b> <b>Command</b> and Control Squadron, which {{operates}} the Boeing E-4 National <b>Airborne</b> <b>Command</b> <b>Post</b> mission.|$|R
5000|$|Boeing EC-135A/C/G Airborne Launch Control Center and Looking Glass <b>Airborne</b> <b>Command</b> <b>Post,</b> 1967-1992 ...|$|R
2500|$|For the 1970s <b>Airborne</b> <b>Command</b> <b>Post</b> {{aircraft}} of {{the same}} designation, see Ilyushin Il-18 ...|$|R
50|$|<b>Airborne</b> <b>command</b> <b>post</b> {{version for}} tank and {{motorized}} infantry commanders (based on Mi-8MT/Mi-17 airframe).|$|R
50|$|JT9D engines {{powering}} USAF E-4A <b>airborne</b> <b>command</b> <b>posts</b> {{were designated}} Pratt & Whitney F105.|$|R
5000|$|For the 1970s <b>Airborne</b> <b>Command</b> <b>Post</b> {{aircraft}} of {{the same}} designation, see Ilyushin Il-18 ...|$|R
5000|$|... 45th Separate Helicopter Regiment - Kaluga (attack <b>helicopter,</b> Mi-9 (<b>airborne</b> <b>command</b> <b>post</b> and relay)) ...|$|R
50|$|Mi-6AYa:(NATO - Hook-D) OKB {{designation}} for the Mi-6VzPU and Mi-22 <b>airborne</b> <b>command</b> <b>posts,</b> with SLAR.|$|R
