1|10000|Public
5000|$|<b>Abduction</b> (<b>of</b> <b>a</b> <b>minor)</b> by a non-custodial {{parent or}} other relative.|$|E
25|$|Norris then {{chronologically}} recounted for {{the court}} the details {{of each of the}} five murders he and Bittaker had committed in addition to the September 30, 1979 rape of Robin Robeck, the attempted <b>abduction</b> <b>of</b> <b>a</b> woman named Jan Malin, which had also occurred on September 30, and the attempted <b>abduction</b> <b>of</b> <b>an</b> unidentified young woman on September 27.|$|R
5000|$|<b>Abduction</b> <b>of</b> <b>a</b> {{child with}} deadly outcome (not below three years, § 235), ...|$|R
25|$|On {{attempted}} <b>abduction</b> <b>of</b> <b>an</b> affected eye, the eye adducts and the eyelid retracts.|$|R
5000|$|Jacques Mesrine (robbery, murder, escape, illegal {{confinement}} <b>of</b> <b>a</b> judge, <b>abduction</b> <b>of</b> <b>a</b> Canadian millionaire) ...|$|R
5000|$|... #Caption: <b>Abduction</b> <b>of</b> <b>a</b> white Argentine woman, Doña Trinidad Salcedo by Araucanians {{painted by}} Johann Moritz Rugendas ...|$|R
25|$|McVicker {{immediately}} informed {{his mother}} of the rape; she in turn notified Garden Grove police. Shortly thereafter, Bonin was charged with the rape and forcible oral copulation <b>of</b> <b>a</b> <b>minor,</b> and the attempted <b>abduction</b> <b>of</b> <b>a</b> 15-year-old which had occurred two days after Bonin had assaulted McVicker. In this second instance, Bonin had sexually propositioned a 15-year-old, who had rejected Bonin's offer of $35 for sex. In response, Bonin had attempted to strike the youth with his vehicle. Bonin pleaded guilty to these charges, and on December 31, 1975, {{he was sentenced to}} serve between one and 15 years' imprisonment, to be served at the California Men's Facility in San Luis Obispo. He was released from detention on October 11, 1978, albeit with 18 months' supervised probation.|$|R
60|$|The story {{revolves}} {{round the}} <b>abduction</b> <b>of</b> <b>a</b> young American woman, her imprisonment {{in an old}} castle and the adventures created through her rescue.|$|R
50|$|Billy is a 1990 {{novel by}} Whitley Strieber. The novel {{tells the story}} <b>of</b> the <b>abduction</b> <b>of</b> <b>a</b> child and the terror of his experience.|$|R
50|$|Bump in the Night is a 1988 {{suspense}} {{novel by}} Isabelle Holland. It describes the <b>abduction</b> <b>of</b> <b>a</b> little boy {{by a child}} molester working with <b>a</b> producer <b>of</b> child pornography movies.|$|R
50|$|In the Natural Born Heroes (2015), McDougall explores {{various aspects}} of heroes and {{physical}} fitness, covering the <b>abduction</b> <b>of</b> <b>a</b> Nazi general during World War II, parkour, and various other challenging situations.|$|R
50|$|Kaashh is a 2012 Malayalam crime comedy film {{written and}} {{directed}} by debutant filmmakers Sujith and Sajith. The film is about the <b>abduction</b> <b>of</b> <b>an</b> industrialist's daughter by <b>a</b> team <b>of</b> four friends.|$|R
50|$|There was <b>an</b> {{attempted}} <b>abduction</b> <b>of</b> <b>a</b> 12-year-old girl student, in March 2003, {{while walking}} home from the school. There was subsequent controversy when the van driver who went to her assistance was criticised.|$|R
2500|$|B92 {{programme}} by Veran Matic (transcript {{of television}} {{report on the}} <b>abduction</b> <b>of</b> <b>a</b> group <b>of</b> Bosniak men from Sjeverin who were detained at Vilina Vlas before being executed on the orders of Milan Lukic).|$|R
5000|$|HB1898 - Provides that <b>abduction</b> <b>of</b> {{any person}} {{for the purpose of}} {{prostitution}} or <b>of</b> <b>a</b> <b>minor</b> for the purpose of manufacturing child pornography is a Class 2 felony.|$|R
50|$|Noor is a two-act play by Akbar Ahmed {{about the}} <b>abduction</b> <b>of</b> <b>a</b> {{young woman named}} Noor and her three {{brothers}} who represent currents inside modern Muslim communities: a Sufi, a secular government bureaucrat, and an angry fundamentalist.|$|R
50|$|After the <b>abduction</b> <b>of</b> <b>an</b> Israeli soldier by Hamas on 25 June, the IDF {{began an}} air and ground {{campaign}} in the Gaza Strip to get back their kidnapped soldier, and end the fire of rockets onto Israeli territory.|$|R
5|$|Millennium Group {{offender}} profiler Frank Black (Lance Henriksen) {{investigates the}} <b>abduction</b> <b>of</b> <b>a</b> bus full <b>of</b> schoolchildren, requiring {{the help of}} fellow Group members Peter Watts (Terry O'Quinn) and Lara Means (Cloke) as he tracks a man preparing for a third world war.|$|R
25|$|After {{physical}} {{trauma to}} the skull, the muscle involved in eye abduction can become reinnervated by the branch of the trigeminal nerve involved in innervating the muscles of mastication(chewing muscles). Thus, involuntary <b>abduction</b> <b>of</b> <b>an</b> involved eye will occur upon eating or chewing.|$|R
50|$|Millennium Group {{offender}} profiler Frank Black (Lance Henriksen) {{investigates the}} <b>abduction</b> <b>of</b> <b>a</b> bus full <b>of</b> schoolchildren, requiring {{the help of}} fellow Group members Peter Watts (Terry OQuinn) and Lara Means (Cloke) as he tracks a man preparing for a third world war.|$|R
50|$|Recent research, however, {{asserts that}} she was not <b>a</b> killer <b>of</b> children, but rather a person with mental {{disorders}} that can only be proven reliably the <b>abduction</b> <b>of</b> <b>a</b> girl. All the black legend that is attributed to her could not be demonstrated.|$|R
50|$|The film {{dealing with}} the theme of human {{trafficking}} focusing particularly on child prostitution is based on <b>a</b> real-life story <b>of</b> the <b>abduction</b> <b>of</b> <b>an</b> 11-year-old Nepalese girl who was sold to a brothel in New Delhi by her aunt and other similar cases.|$|R
5000|$|In April 2007, Tokyo Metropolitan Police Department {{requested}} So and {{two other}} Chongryon officials to voluntarily attend the police station to give statements in connection with <b>a</b> 1970s <b>abduction</b> <b>of</b> <b>a</b> Japanese toddler by North Korean agents. Chongryon issued a public statement rejecting the request.|$|R
6000|$|... "Now then, Ratichon," [...] {{that same}} irascible voice continued, [...] "get out of there! In {{the name of}} the law I charge you with the <b>abduction</b> <b>of</b> <b>a</b> defenceless female, and my orders are to bring you {{forthwith}} before the Chief Commissary of Police." ...|$|R
