1|102|Public
5000|$|Random {{parameters}} (slot cycle index) to {{use during}} CSMA <b>access</b> <b>probes.</b>|$|E
40|$|A {{performance}} analysis of an access channel decoder is presented which exploits a diversity gain {{due to the}} independent magnitude of received signals energy {{at each of the}} antenna elements of a smart-antenna base-station transceiver subsystem (BTS) operating in CDMA 2000 1 X signal environment. The objective is to enhance the data retrieval at cellsite during the access period, for which the optimal weight vector of the smart antenna BTS is not available. It is shown in this paper that the access channel decoder proposed in this paper outperforms the conventional one, which is based on a single antenna channel in terms of detection probability of <b>access</b> <b>probe,</b> <b>access</b> channel failure probability, and Walsh-code demodulation performance. </p...|$|R
3000|$|In {{the present}} setting, we shall {{consider}} the case when each node adopts CSMA for medium <b>access</b> and <b>probes</b> the spectrum at random times. It is assumed that each node i probes the spectrum r [...]...|$|R
5000|$|On September 20, 1999, Newsweek {{printed a}} story on Moonlight Maze that was written by Gregory Vistica. It was titled [...] "Were {{in the middle of}} a cyberwar," [...] based on a quote from then-Deputy Secretary of Defense John Hamre. Bodmer, Kilger, Carpenter and Jones cite that the {{duration}} of the attack was well over two years and the adversary was likely able to collect a vast amount of critical information which was previously safeguarded and characterized the attack as an Advanced Persistent Threat. They explained that the ability to retain <b>access,</b> <b>probe</b> these systems and collect sensitive data demonstrated a level of expertise rarely seen at that time.|$|R
40|$|Monofunctionalization of trehalose, a widely-found {{symmetric}} plant disaccharide, was {{studied in}} a microreactor to give valuable kinetic insights that have allowed improvements in desymmetrization yields {{and the development}} of a reaction sequence for large scale monofunctionalizations that allow <b>access</b> to <b>probes</b> of trehalose's biological function...|$|R
40|$|Heterogeneity in {{maize starch}} {{granules}} was investigated {{by studying the}} diffusion of fluorescent dextran probes (20, 70 and 150 kDa) inside granules using fluorescence recovery after photobleaching combined with confocal microscopy. <b>Access</b> of <b>probes</b> to the interior of granules was greatly enhanced by limited (2. 4...|$|R
40|$|An optical <b>access</b> <b>probe</b> was {{developed}} {{to meet the demands of}} a gas turbine combustor in a Cooperative Research and Development Agreement (CRADA) with the Westinghouse Science and Technology Center. The probe is water-cooled, has no external fittings, and is pressure-sealed with a conventional compression fitting. The probe utilizes a 1. 0 -mm diameter sapphire rod as a lightpipe for optical access and fiber optic coupling to the spectroscopic experiments. This is coupled with a fused silica optical fiber to the optical experiments employed to study the combustion process. The probe has been tested to 10 {sup 6 } Pa in a test combustor exhibiting 10 {sup 5 } Pa instability oscillations. To test its spectral range, the probe investigated OH emissions at 310 nm, C{sub 2 } and CH emissions from 400 to 500 nm, Near IR emissions from 800 to 1, 800 nm, and temperature measurements using an Accufiber detection system...|$|R
40|$|Abstract Background The {{annotations}} of Affymetrix DNA microarray {{probe sets}} with Gene Ontology terms are carefully selected for correctness. This results in very accurate but incomplete annotations {{which is not}} always desirable for microarray experiment evaluation. Results Here we present a protocol to amplify the set of Gene Ontology annotations associated to Affymetrix DNA microarray probe sets using information from related databases. Conclusion Predicted novel annotations and the evidence producing them can be <b>accessed</b> at <b>Probe</b> 2 GO: [URL]. Scripts are available on demand. </p...|$|R
3000|$|... 0 {{to achieve}} the running {{droplets}} on all samples tested. While III-rich surface conditions {{have been known to}} the MBE community for decades, the self-running III-droplets have only recently been discovered using in situ microscopy [9]. The temperature sensitivity of the running droplet mechanism results in very few instances of this type of studies conducted in MBE [16]. Now with our proposed procedure, the running droplet mechanism can be easily <b>accessed</b> and <b>probed,</b> paving the way for improved fundamental understanding of this rarely reported mechanism and of dynamics at liquid-solid interfaces in general.|$|R
40|$|We {{report on}} the {{observation}} of photogalvanic effects in epitaxially grown Sb 2 Te 3 and Bi 2 Te 3 three-dimensional (3 D) topological insulators (TI). We show that asymmetric scattering of Dirac fermions driven back and forth by the terahertz electric field results in a dc electric current. Because of the “symmetry filtration” the dc current is generated by the surface electrons only and provides an optoelectronic <b>access</b> to <b>probe</b> the electron transport in TI, surface domains orientation, and details of electron scattering in 3 D TI even at room temperature...|$|R
40|$|This {{paper will}} argue that the {{cognitive}} process of conceptual blending plays a fundamental role in design and design research by enabling us to manipulate - <b>access,</b> share, <b>probe,</b> alter and transpose - (poetic) knowledge and to synthesise new (poetic) experiences. This argument is further elaborated by discussing a specific case: a design for a research environment that triggers conceptual blending. This case addresses my recently completed PhD-research as a context for developing and testing ‘the method of good company’, a method to become aware of conceptual frameworks one tacitly implements when designing. status: publishe...|$|R
