1|100|Public
5000|$|... the <b>aerial</b> <b>passenger</b> <b>tramway</b> for skiers Panoramawelt Lungern Schönbüel ...|$|E
2500|$|The Sandia Peak Tramway, located {{adjacent}} to Albuquerque, is the world's second-longest <b>passenger</b> <b>aerial</b> <b>tramway.</b> It {{also has the}} world's third-longest single span. It stretches from the Northeast {{edge of the city}} to the crestline of the Sandia Mountains. Elevation {{at the top of the}} tramway is roughly [...]|$|R
50|$|Ulriksbanen is a <b>passenger</b> <b>aerial</b> <b>tramway</b> in Bergen, Norway. It {{connects the}} {{mountain}} Ulriken to the city, and is frequently used by tourists {{as well as}} locals. The tramway was first thought of by Frithjof Meidell Andersen in 1954, and a company was established in 1959. After having been constructed by a Swiss company, Ulriksbanen opened in 1961.|$|R
50|$|Franconia {{is home to}} the Cannon Mountain Aerial Tramway, which {{rises to}} the 4100 ft summit of Cannon Mountain. Built in 1938, it was the first <b>passenger</b> <b>aerial</b> <b>tramway</b> in North America. From the time of its {{construction}} in 1938 to its retirement in 1980, the original <b>tramway</b> carried 6,581,338 <b>passengers</b> to the summit of Cannon Mountain. The original tramway was replaced by a new 80-passenger tram in 1979. Construction and testing of the new tram were completed in February 1980, and the red and yellow tram cars are still running year-round today.|$|R
50|$|Accrington Corporation <b>Tramways</b> {{operated}} an <b>passenger</b> <b>tramway</b> {{service in}} Accrington between 1907 and 1932.|$|R
50|$|Leith Corporation <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in Leith between 1904 and 1920.|$|R
50|$|Rawtenstall Corporation <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in Rawtenstall between 1908 and 1932.|$|R
50|$|Swindon Corporation Tramways {{operated}} {{an electric}} <b>passenger</b> <b>tramway</b> service in Swindon between 1904 and 1929.|$|R
50|$|East Ham Corporation <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in East Ham between 1901 and 1933.|$|R
50|$|Erith Urban District Council <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in Erith between 1905 and 1933.|$|R
50|$|Ilford Urban District Council <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in Ilford between 1903 and 1933.|$|R
50|$|Leyton Urban District Council <b>Tramways</b> {{operated}} a <b>passenger</b> <b>tramway</b> service in Leyton between 1905 and 1933.|$|R
50|$|Accrington Corporation Steam Tramways Company {{operated}} a steam-powered <b>passenger</b> <b>tramway</b> service in Accrington between 1886 and 1907.|$|R
50|$|Barking Town Urban District Council Light Railways {{operated}} a <b>passenger</b> <b>tramway</b> service in Barking between 1903 and 1929.|$|R
50|$|The Cork Electric Tramways and Lighting Company {{operated}} a <b>passenger</b> <b>tramway</b> service in Cork between 1898 and 1931.|$|R
50|$|Musselburgh and District Electric Light and Traction Company {{operated}} a <b>passenger</b> <b>tramway</b> service in Musselburgh between 1904 and 1928.|$|R
5000|$|The Galway and Salthill Tramway Company {{operated}} a [...] narrow gauge <b>passenger</b> <b>tramway</b> service in Galway between 1879 and 1918.|$|R
5000|$|... 13.2 km Norsjö {{aerial tramway}} Mensträsk-Bjurfors in Norsjö, Sweden. <b>Passenger</b> <b>tramway,</b> {{a section of}} the former 96-km Kristineberg-Boliden {{industrial}} ropeway.|$|R
5000|$|From 1899 to 1932, a <b>passenger</b> <b>tramway</b> {{service from}} the station to the Cruden Bay Hotel was {{provided}} by the Cruden Bay Hotel Tramway. After the station closed to <b>passenger</b> traffic the <b>tramway</b> continued with freight services until 1940. Former Services ...|$|R
50|$|The Susegana-Pieve di Soligo tramway (tranvia Susegana-Pieve di Soligo) was a {{goods and}} <b>passenger</b> <b>tramway</b> between Susegana and Pieve di Soligo in Italy.|$|R
