1|62|Public
5000|$|Lutjanus dentatus (A. H. A. Duméril, 1861) (<b>African</b> <b>brown</b> <b>snapper)</b> ...|$|E
5000|$|... #Caption: Lutjanus vitta (<b>brown</b> striped <b>snapper)</b> {{sold at a}} {{supermarket}} ...|$|R
50|$|Afronatrix is a genus of {{snake in}} the Colubridae family that {{contains}} the sole species Afronatrix anoscopus. It {{is commonly known as}} the <b>African</b> <b>brown</b> water snake.|$|R
5000|$|... #Caption: The African {{diaspora}} in the Americas, {{according to}} a non genetic based estimate by Lizcano: Black, <b>African</b> ancestry; <b>Brown,</b> <b>African</b> & European ancestry; Wine-red, Multiracial.|$|R
50|$|The <b>African</b> <b>brown</b> knifefish or <b>African</b> knifefish, Xenomystus nigri, is {{the only}} species in the genus Xenomystus of the family Notopteridae. This fish {{is found in the}} Chad, Nile, Congo, Ogowe and Niger basins, as well as coastal river basins in Sierra Leone, Liberia, Togo, Benin and Cameroon.|$|R
5000|$|Stomorhina lunata is {{a species}} of fly in the family Calliphoridae, often misidentified because of the unusual band pattern in the abdomen, typical of hoverflies. S. lunata is an {{important}} egg predator of some major African agricultural pests, the South <b>African</b> <b>Brown</b> locust (Locustana pardalina), the more widespread Desert locust (Schistocerca gregaria), and the migratory locust (Locustana migratoria).|$|R
50|$|The reptile species {{reported}} are Cerastes cerastes (desert horned viper), Massoutiera mzabi (Mzab gundi), Other {{species of}} snakes or cobra are: Bitis arietans puff adder, Cerastes cerastes horned viper, Dispholidus typus boomslang, Echis jogeri Joger's carpet viper, Echis leucogaster white-bellied carpet viper, Echis ocellatus West African carpet viper, Naja katiensis West <b>African</b> <b>brown</b> spitting cobra, Naja melanoleuca forest cobra, Naja nigricollis black-necked spitting cobra, and Naja senegalensis Senegalese cobra.Mali Uromastyx Uromastyx maliensis species {{is a widely}} known species of lizard in Mali.|$|R
50|$|Aubria subsigillata, {{commonly}} known as the brown ball frog or the West <b>African</b> <b>brown</b> frog, is a species of frog belonging to the family Pyxicephalidae. It has a discontinuous distribution from southern Guinea through Liberia and Ivory Coast, and from Nigeria to southern Cameroon, and Equatorial Guinea to Gabon (with, at least apparently, a gap in Togo and Benin). Note, however, that the species delimitation differs between sources (see below), and the International Union for Conservation of Nature (IUCN) has adopted a narrower view where this species only occurs in Cameroon and southward.|$|R
50|$|Sympatric predators {{included}} the <b>African</b> leopard and <b>brown</b> bear.|$|R
5000|$|This fish reaches 30 cm (12 in) in length. The body {{of these}} fish is unusual; it is ventrolaterally {{flattened}} and elongated, giving {{the appearance of}} a knife blade. The caudal and anal fins are fused and run from beneath the gill opening to the pointed end of the body, creating a uniform, skirt-like fin. This appendage gives the animal superior control in the water, as it is able to propel itself forward and backward with a minimum of wasted energy. The pelvic fins are extremely reduced and are not used in locomotion. The dorsal fin is absent. The pectoral fins of the <b>African</b> <b>brown</b> knifefish are lengthy and designed to give the animal precise control as it swims. They are often employed in a windmilling motion, in conjunction with the caudal/anal fin, as the fish retreats into its lair. [...] The scales of the knifefish are extremely small, giving it a smooth appearance broken only by its fairly prominent lateral line. Apart from its eyes, the lateral line is the knifefish's most important sensory apparatus. The <b>African</b> <b>brown</b> knifefish is nocturnal and uses the nerve-filled pits running down its body to navigate lightless waters. In addition, the eyes of this fish are large in relation to its body size. They provide the animal with excellent night vision.|$|R
40|$|Six cyclised tetraprenyltoluquinols {{and five}} {{stereoisomers}} with the previously reported amentol skeleton have been {{isolated from the}} lipophilic extract of the South <b>African</b> <b>brown</b> alga Cystophora fibrosa. Structures and relative stereochemistry were determined using spectrometric techniques, particularly 1 D and 2 D NMR, and molecular modelling experiments. The compounds isolated appear to be enantiomeric to compounds with the same skeleton isolated from brown algae of the genus Cystoseira collected in northern Africa and the Mediterranean Sea. The isolation of tetraprenyltoluquinols with the amentol skeleton from this alga suggests that C. fibrosa should be moved from the genus Cystophora into the Cystoseira...|$|R
5000|$|... #Caption: A prayer vigil at Morris <b>Brown</b> <b>African</b> Methodist Episcopal Church ...|$|R
50|$|To this day, {{the match}} between Roddy Piper and Bad News Brown has {{received}} heavy criticism for featuring Piper (at that point a babyface) being painted in half-blackface against the <b>African</b> American <b>Brown.</b>|$|R
40|$|Diapause {{in adults}} of the <b>African</b> <b>brown</b> ear tick Rhipicephalus appendiculatus is {{dependent}} on latitude and stock origin. Lower latitude populations, that is, those nearer the equator, show no diapause response to long or short day exposure. Diapause response to short daylengths is found in higher latitude populations, further south, and increases with increasing latitude. Nearly all individuals in the southen most population, used in this study, enter diapause under short and long day exposure which implies that the onset of diapause in this population is obligatory. Diapause termination in higher latitude populations is induced by increasing photoperiod, further north, but still south of the equator, diapause is terminated by ageing. The differences in diapausing behaviour of the different populations are discussed {{in relation to their}} climatic conditions...|$|R
50|$|Located on 16 acres, the Lake Superior Zoo offers year-round {{recreational}} activities and features animals {{from around the}} world, including Amur tigers, snow leopards, <b>African</b> lions, <b>brown</b> bears, kangaroos, and gray wolves, plus a variety of birds, reptiles, primates and barnyard animals. The zoo offers learning programs and regularly features special events.|$|R
40|$|AbstractThe dyes {{commonly}} used in the textile industry have structural resonant valence distribution, within a complex molecule, which determines {{the color of the}} dyes. The coloring is produced by chromospheres holding radiation in UV-visible range. Besides coloring, these compounds can be found in waste water and cause serious problems in living organisms, because their biodegradation products may be a source of toxic substances such as amines, which are generated from the characteristic azo chromospheres groups in most of the dyes. Current treatments for color removal from hazardous waste from these materials are complex and costly, for this reason some industries do not treat the wastes generated during the staining step. The aim {{of this study is to}} evaluate the use of nanoclay as adsorbents for dye used in the textile industry. The dyes used in this work are commercially known as: Orange GR, Black GN an <b>African</b> <b>Brown.</b> Nanoclay was obtained by bentonite treated with organic cation. The retention of the dye was evaluated by measurements in the UV-visible spectrum by using a HP- 8354 equipment...|$|R
5000|$|According to [...] "The Lowdown on Brown-Brown" [...] by Brendan I. Koerner, the use {{of cocaine}} mixed with {{gunpowder}} may be less prevalent than reports indicate, as cocaine {{would be difficult to}} source during armed conflicts, especially in the <b>African</b> continent. <b>Brown</b> pills that were referred to as cocaine were most likely amphetamine. The first actual documentation of the term [...] "brown-brown" [...] was a 2005 Norwegian NGO report that stated the term refers to heroin.|$|R
50|$|Situated 10 km {{from the}} town of Lephalale, this resort gets its name from the massive nyala tree that is {{characteristic}} of the area, and is also the southernmost habitat of the famous baobab tree. D'nyala boasts a diversity of game which includes some 65 mammal species such as nyala, white rhinoceros, giraffe, waterbuck, tsessebe, oryx, eland, zebra, impala, caracal, <b>African</b> wildcat, <b>brown</b> hyena, black-backed jackal and leopard. The animals of D'nyala roam freely over the area including the vicinity of the chalets.|$|R
5000|$|The overall {{synopsis}} of the Geography Trilogy {{is to create}} a link and understanding to other cultures histories while evolving and experimenting with his artistic works in three different continents. For example, Geography formulated in Africa, Tree originated in Asia, and Come Home Charley Patton brought Lemon back to the United States. Ralph Lemon's creative journey began with Geography in Côte d'Ivoire, Guinea. The journals he wrote gave insight into the life of an [...] "American, <b>African,</b> <b>brown,</b> black, blue black, male, and artist." [...] Embodying these characteristics, Lemon sought not only to create art about his culture but to connect with his heritage during the duration of his visit. Lemon then ventured to Asia for his next piece in the trilogy Tree. Tree is ritually structured through Buddhism, and reveals a conflict of cultural values pertaining to performance, race, identity, modernity and tradition. Lemon finished the trilogy in the US with Come Home Charley Patton, a piece that revisits a segregated time in history. The performance of Come Home Charley Patton shows how [...] "different generations remember the same critical events and places; what kind of narratives do justice to traumatic memories; and what form memories can ultimately take through the aesthetic works of this project." ...|$|R
25|$|On September 28, 1919 a white mob {{launched}} a riot {{resulting in the}} brutal lynching death of <b>African</b> American Will <b>Brown,</b> the death of two white men, the attempted hanging of Mayor Smith and a public rampage that included the burning of the Douglas County Courthouse in downtown Omaha.|$|R
60|$|The {{night was}} calm, but {{now and then}} a faint, hot wind blew from the shadowy coast, and {{rippling}} the water, brought a strange, sour smell. Lister did not know the smell; Brown knew and frowned, for he had been broken by the malaria that haunts West African river mouths. Heavy dew dripped from the awnings on Terrier's bridge and in places trickled through the material, since canvas burns in the <b>African</b> sun. <b>Brown</b> searched the dark coast with his glasses, trying to find the marks he had noted on the chart. Lister leaned against the rails and mused about the voyage.|$|R
50|$|Species include African bush elephant, African buffalo, hippopotamus, lechwe, tsessebe, sitatunga, blue wildebeest, South African giraffe, Nile crocodile, Southwest African lion, South African cheetah, <b>African</b> leopard, <b>brown</b> hyena, spotted hyena, springbok, greater kudu, sable antelope, impala, south-central black rhinoceros, {{southern}} white rhinoceros, Burchell's zebra, common warthog, chacma baboon and vervet monkey. Notably {{the endangered}} Cape wild dog survives within the Okavango Delta, exhibiting {{one of the}} richest pack densities in Africa. The delta also includes over 400 species of birds, including African fish eagle, Pel's fishing owl, crested crane, lilac-breasted roller, hammerkop, South African ostrich, and sacred ibis.|$|R
