1|10000|Public
5000|$|... 10 August 2005, <b>collision</b> <b>with</b> <b>pile</b> at No 3 Wharf at Circular Quay ...|$|E
40|$|The dipole-dipole {{interaction}} Mechanisms to control <b>collisions</b> <b>with</b> electromagnetic fields Mechanisms to control <b>collisions</b> <b>with</b> electromagnetic fields • Electric-field-induced Feshbach resonances in ultracold collisions Mechanisms to control <b>collisions</b> <b>with</b> electromagnetic fields • Electric-field-induced Feshbach resonances in ultracold collisions d E Mechanisms to control <b>collisions</b> <b>with</b> electromagnetic fields • Electric-field-induced Feshbach resonances in ultracold collisions d E Mechanisms to control <b>collisions</b> <b>with</b> electromagnetic fields • Electric-field-induced Feshbach resonances in ultracold collisions d E • Manipulating spin relaxation in molecules with electric field...|$|R
50|$|The {{replacement}} pier 4 {{is founded}} on piles and the remaining piers were retrofitted <b>with</b> <b>piles.</b>|$|R
40|$|This study {{utilized}} the latest computing techniques {{to analyze the}} driver's cab of a railroad vehicle colliding with deformable objects. It explored the differences between a <b>collision</b> <b>with</b> a deformable object and a <b>collision</b> <b>with</b> a rigid object. It also examined the differences between a <b>collision</b> <b>with</b> a large simple shaped object and a <b>collision</b> <b>with</b> a life-like object. Tools of analysis included vehicle dynamics analysis and finite element analysis...|$|R
5000|$|Pile-on-pile: A {{particularly}} luxurious type of velvet woven <b>with</b> <b>piles</b> {{of differing}} heights {{to create a}} pattern.|$|R
5000|$|... #Caption: A 28/32 cm rocket {{in flight}} during the Warsaw Uprising, <b>with</b> <b>piles</b> of spent cases {{on the right}} ...|$|R
5000|$|... #Caption: Still Life <b>with</b> <b>Piles</b> of French Novels and a Glass with a Rose (Romans Parisiens), 1887, Private Collection, Switzerland (F359) ...|$|R
5000|$|... #Caption: Ship berths on Tatana Island were {{initially}} earth causeways leading to pontoon docks, which were later replaced <b>with</b> <b>pile</b> structures ...|$|R
50|$|While {{barriers}} are normally designed to minimize injury to vehicle occupants, injuries do occur in <b>collisions</b> <b>with</b> traffic barriers. They {{should only be}} installed where a <b>collision</b> <b>with</b> the barrier {{is likely to be}} less severe than a <b>collision</b> <b>with</b> the hazard behind it. Where possible, it is preferable to remove, relocate or modify a hazard, rather than shield it with a barrier.|$|R
40|$|This {{paper is}} a {{complementary}} one for our previous paper [25]. The collision of the ellipsoid {{is considered to}} take place with the main planes of the reference system. In our simulation we obtain the following results: no <b>collision,</b> <b>collision</b> <b>with</b> a single plane, simultaneous <b>collision</b> <b>with</b> two planes, simultaneous <b>collision</b> <b>with</b> the all three planes, and collision for a longer time {{with one or more}} planes...|$|R
6000|$|<b>With</b> <b>piles</b> of flavorous fruits in basket-twine [...] Of gold, upheaped, {{crushing}} down [...] Musk-scented blooms--all taste--grape, gourd or pine-- [...] In bunch, {{or single}} grown-- ...|$|R
