1|23|Public
5000|$|... 5-speed manual {{transmission}} changed from rod shift to <b>cable</b> <b>shift.</b>|$|E
50|$|Before the 1990s many {{manufacturers}} made derailleurs, including Simplex, Huret, Galli, Mavic, Gipiemme, Zeus, Suntour, and Shimano. However, {{the successful}} introduction {{and promotion of}} indexed shifting by Shimano in 1985 required a compatible system of shift levers, derailleur, sprockets, chainrings, chain, <b>shift</b> <b>cable,</b> and <b>shift</b> housing.|$|R
5000|$|In 1989, the Rallye Golf {{appeared}} as a rallye [...] "homologation special". Distinguishable by its box-flared wheel arches (similar to the Audi quattro, BMW E30 M3 and Lancia Delta Integrale) and rectangular projector headlamps, this model featured Syncro four-wheel drive, a <b>cable</b> <b>shifted</b> transmission and a G-supercharger 1763 cc (less than the typical 1.8L 1781 cc to meet the engine displacement rules) version of the injected 8 valve G60 1.8 litre engine.|$|R
5000|$|For cables {{we provide}} wall/deck {{penetration}} sleeve {{to avoid any}} damage to <b>cable</b> from material <b>shifting</b> on deck.|$|R
25|$|Large devices called saddles, {{which will}} carry the main {{suspension}} cables, are positioned atop the towers. Typically of cast steel, {{they can also be}} manufactured using riveted forms, and are equipped with rollers to allow the main <b>cables</b> to <b>shift</b> under construction and normal loads.|$|R
5000|$|The Shimano {{compatible}} {{family of}} derailleurs is stated {{as having a}} shift ratio of two-to-one (2:1), and since SRAM makes two families of components, the term has been widely adopted to distinguish it from SRAM's own one-to-one (1:1) ratio family of derailleurs. Notice that these family names do not give the exact shift ratios: the 2:1 shift ratio is in fact about 1.7 (Or 1.9 on the Dura Ace series up to 7400) rather than 2, and the native SRAM shift ratio is about 1.1. The family names of these standards are reversed by some in actuation ratio notation as opposed {{to that of the}} more common shift ratio. Thus, in Shimano systems a unit of <b>cable</b> <b>shifted</b> causes about twice as much movement of the derailleur.|$|R
50|$|The company's {{offices and}} {{sleeping}} quarters burned down in 1914. The cable station remained in operation until 1917, when the <b>cable</b> was <b>shifted</b> to Titahi Bay near Wellington {{due to the}} increasing economic importance of the North Island. The place name changed to Cable Bay in 1926.|$|R
50|$|Born {{and raised}} in raised in the small of Mammoth, Arizona, Salazar worked for a while after {{finishing}} high school as a <b>cable</b> technician before <b>shifting</b> his focus to mixed martial arts.|$|R
50|$|In 2014 GM has {{recalled}} the vehicle regarding {{a condition in}} which the transmission <b>shift</b> <b>cable</b> may fracture. The fracture prevents the driver from selecting gears and may cause the vehicle to move in an unintended direction.|$|R
50|$|Different {{versions}} of the transaxle are available depending upon the application. Both <b>cable</b> and rod <b>shift</b> mechanisms are available, as well as application-specific clutch housings. The MU3 and MC2 are differentiated by ratios, with the MC2 available with a lower top-gear ratio.|$|R
40|$|The SPEAR 3 {{synchrotron}} lightsource at SLAC {{relies on}} a sophisticated radio frequency (RF) timing system to maintain current – electrons – in the storage ring. One problem SPEAR 3 operators have dealt with is the thermal expansion {{of one of the}} cables supporting this RF timing system. As the cable expands and contracts with the diurnal {{rise and fall of the}} sun, the phase of the RF in the <b>cable</b> <b>shifts.</b> This shifting phase affects the timing accuracy of electron injections into the storage ring. A common feedback control algorithm PID (Proportional Integral Derivative) has countless applications in engineering. PID feedback can solve this problem of diurnal phase shift nicely. In general, feedback control of a dynamic variable requires the completion of a feedback loop; the variable is fed as input to the controller, which in turn modifies the variable. These principles were used to write a software program that controls a phase modulation box to compensate for the thermal expansion of the RF timing cable. The software was written and compiled with MATLAB, and interfaces with the EPICS control system at SLAC to control the hardware. The system also provides diagnostic tools and software control of the phase in this part of the timing system...|$|R
