1|150|Public
50|$|EUH205: <b>Contains</b> <b>epoxy</b> <b>constituents.</b> May {{produce an}} {{allergic}} reaction.|$|E
40|$|The present {{invention}} {{relates to}} aryloxy-substituted cyclic and polymeric phosphazenes of general formula: in which X, X', w, y and z have the meaning {{defined in the}} text, <b>containing</b> <b>epoxy</b> functions. The preparation of these products is effected by reaction between cyclo- and poly-phosphazenes having free hydroxyl functions with compounds which possess methylenic [alpha]-chloro or [alpha]-bromo groups and simultaneously <b>contain</b> <b>epoxy</b> functions, or by a reaction of epoxidation of cyclo- or poly-phosphazenes containing olefinic double bonds in the side substituent groups with organic peracids of various types...|$|R
5000|$|Fabrication and Mechanical Characterization of Nanophased Composites <b>Containing</b> <b>Epoxy</b> and SiC Nanoparticles- ASME Integrated Nano-Systems 2003, CA. Reneé M. Rodgers, Hassan Mahfuz, Vijaya K. Rangari, Nathaniel Chisholm, and Shaik Jeelani ...|$|R
5000|$|... #Caption: Chemical {{structure}} of SU-8 (a single molecule <b>contains</b> 8 <b>epoxy</b> groups) ...|$|R
5000|$|Hydroperoxy-containing {{polyunsaturated}} {{fatty acids}} (PUFAs) such as 12R-HETE readily breakdown through non-enzymatic transformations {{in which the}} two oxygen atoms of the hydroperoxy residue rearrange to form PUFAs containing one hydroxyl (also termed alcohol) residue and one epoxide residue. This transformation may occur in tissues or during tissue preparations with 12-HpETE to form Hepoxilins, i.e. epoxyalcohols of 12-HpETE that are of the A type (i.e. hepoxilin As, which <b>contain</b> an <b>epoxy</b> and alcohol residue separated from each other by a double (i.e. alkene) bond or, alternatively, B type (i.e. hepoxilin Bs, which <b>contain</b> <b>epoxy</b> and alcohol residues on adjacent carbons); these non-enxymatically formed products are a mixture of hydroxy and epoxy R,S stereoisomers and diastereomers. In addition to arachidonic acid, ALOX12B metabolizes linoleic acid (LA) to 9(R)-hydroperoxy-10(E),12(Z)-octadecadienoic acid (9R-HpODE): ...|$|R
40|$|Broad {{spectrum}} of thermosetting epoxy resins used on commercial and military aircraft, primarily as composite matrices and adhesives. In new technique, chromium-ion <b>containing</b> <b>epoxy</b> with improved resistance to moisture produced where chromium ions believed to prevent absorption of water molecules by coordinating themselves to hydroxyl groups on epoxy chain. Anticipated that improved epoxy formulation useful as composite matrix resin, adhesive, or casting resin for applications on commercial and advanced aircraft. Improvement made without sacrifice in mechanical properties of polymer...|$|R
40|$|The {{objective}} {{of this study was}} to investigate the potential use of sand washing waste as filler for epoxy resin mortar. The mechanical properties of four series of mortars <b>containing</b> <b>epoxy</b> binder at 10, 15, 20, and 25 wt. % mixed with sand blended with sand washing waste filler in the range of 0 – 20 wt. % were examined. The compressive and flexural strength increased with the increase in epoxy and filler content; however, above epoxy 20 wt. %, slight change was seen in strength due to increase in epoxy and filler content. Modulus of elasticity also linearly increased with the increase in filler content, but the use of epoxy content beyond 20 wt. % decreased the modulus of elasticity of the mortar. For epoxy content at 10 wt. %, poor bond strength lower than 0. 8 MPa was observed, and adding filler at 20 wt. % adversely affected the bond strength, in contrast to the mortars <b>containing</b> <b>epoxy</b> at 15, 20, 25 wt. %. The results indicate that the sand washing waste can be used as potential filler for epoxy resin mortar to obtain better mechanical properties by adding the optimum level of sand washing waste filler...|$|R
40|$|The {{structural}} and electronic properties of oxidized graphene are investigated {{on the basis}} of the genetic algorithm and density functional theory calculations. We find two new low energy semiconducting phases of the fully oxidized graphene (C 1 O). In one phase, there is parallel epoxy pair chains running along the zigzag direction. In contrast, the ground state phase with a slightly lower energy and a much larger band gap <b>contains</b> <b>epoxy</b> groups in three different ways: normal epoxy, unzipped epoxy, and epoxy pair. For partially oxidized graphene, a phase separation between bare graphene and fully oxidized graphene is predicted...|$|R
30|$|Due {{to trade}} secrets not much {{is known about}} the exact {{chemical}} composition of photopolymers. The main proprietary names are Sosmos®, Watershedtm, Accura®, Renshape™ and Visijet® Flex SL. Typically, these are acrylic or epoxy photopolymers; however, unsaturated polyesters or urethanes or hybrid systems consisting of a combination of the two, can be used [41]. Somos® 7110 and Renshape™ 5260 were identified to <b>contain</b> <b>epoxy</b> and acrylic functional groups, aromatics and aliphatic ether groups [42], Flex SL was identified as a polyether (meth)acrylate-based resin [43], and Accura® SI 40 is an epoxy photopolymer resin specifically designed for rapid manufacturing rather than prototyping, with properties considered to be closer to traditional engineering plastics [44].|$|R
40|$|A {{variety of}} {{metallic}} and organometallic complexes {{to be used}} as potential additives for an epoxy used by the aerospace industry as a composite matrix resin were investigated. A total of 9 complexes were screened for compatibility and for their ability to accelerate or inhibit the cure of a highly crosslinkable epoxy resin. Methods for combining the metallic complexes with the resin were investigated, gel times recorded, and cure exotherms studied by differential scanning calorimetry. Glass transition temperatures of cured metal ion <b>containing</b> <b>epoxy</b> castings were determined by thermomechanical analysis. Thermal stabilities of the castings were determined by thermogravimetric analysis. Mechanical strength and stiffness of these doped epoxies were also measured...|$|R
40|$|In {{this work}} {{polymeric}} materials {{were developed to}} be used as a solvent and heat resistance membrane for different applications. In ultrafiltration, poly (ether imide sulfone) membranes were manufactured by combining phase inversion and functionalization reaction between epoxy groups and amine modified polyether oligomers (Jeffamine®). Polysilsesquioxanes or oligo silsesquioxanes <b>containing</b> <b>epoxy</b> functionalities were in-situ grown in the casting solution and made available for further reaction with amines in the coagulation/annealing baths. Water permeances up to 1500 l m- 2 h- 1 bar- 1 were obtained with sharp pore size distribution and a pore diameter peak at 66 nm, confirmed by porosimetry, allowing 99. 2...|$|R
