1|13|Public
5000|$|... #Caption: Series I <b>cycle</b> <b>fender</b> Excalibur {{roadster}} without doors ...|$|E
5000|$|Spider Corsa, #006I open 2-seater by Allemano, <b>cycle</b> <b>fenders</b> and lamps (raced by Clemente Biondetti and Tazio Nuvolari in {{his last}} Mille Miglia) ...|$|R
50|$|In 1938, a 4-4 {{was entered}} at Le Mans. This led to {{production}} of factory replicas, with fold-down windscreen, <b>cycle</b> <b>fenders,</b> smaller-displacement engine, & single spare wheels, {{with a price}} of £250.|$|R
50|$|The first Siluros had <b>cycle</b> <b>fenders.</b> Later rules {{stipulated that}} cars must have {{attached}} fenders so owners simply added aluminum to the fenders and connected {{them to the}} body. The Bandini factory then produced them with fully attaching fenders. These fenders could be removed and a tonneau cover placed over the passenger seat which made the cars eligible for the Formula Three open wheeled class.|$|R
50|$|After {{constructing}} a second example, Bandini entered the 1949 Mille Miglia {{with his new}} 1100 siluro, featuring torpedo-like bodywork and <b>cycle</b> <b>fenders</b> (separate mudguards). The car still used the same Fiat engine, modified with a twin overhead camshaft cylinder head based on an Alfa Romeo design. With this car, Bandini entered events at Senigallia, Ferrara, Modena, Bari, and Pescara. His first victory was a class win in the Tour of Umbria (Giro dellUmbria).|$|R
50|$|The Excalibur S1 was {{initially}} {{available only in}} a two-seater Roadster version (without doors and <b>cycle</b> <b>fenders)</b> as designed by Brooks Stevens. But by mid 1966 the company had built 56 automobiles and introduced two more models: an elaborated Roadster with longer mudguards and running boards (with doors), and a convertible four-seater (with doors) known as the Phaeton. Excalibur built exactly 90 cars during 1966 and production didn't reach 100 units in a year until 1969 — {{the same year that}} S1 production was stopped.|$|R
5000|$|A Biddle {{advertisement}} {{appearing in}} Life Magazine in 1917 {{confirms that the}} car was [...] "assembled" [...] from parts produced by others, including a top-quality Duesenberg motor, and that it reflected European styling. The roadster shown in the ad closely resembles a contemporaneous Mercedes Benz sport model, with its deeply V-ed radiator, <b>cycle</b> <b>fenders,</b> wire wheels and step plates. From its dramatic prow, the long hood-line sweeps back to a raked windshield spanning an aeronautical cowl, then drops to the rakish line of its cut-down doors and finally flows into a streamlined tail.|$|R
5000|$|A {{development}} of hot rodding, {{the change in}} name corresponded to {{the change in the}} design of the cars being modified. The first hot rods were pre-World War II cars, with running boards and simple fenders over the wheels. Early model cars (1929 to 1934) were modified by removing the running boards and either removing the fenders entirely or replacing them with very light <b>cycle</b> <b>fenders.</b> Later models usually had fender skirts installed. The [...] "gow job" [...] morphed into the hot rod in the early to middle 1950s.|$|R
5000|$|The 750 Nardi-Danese (or 750ND) {{was a tiny}} machine, {{assembled}} on a Fiat 500 chassis, {{powered by}} a [...] 746 cc BMW flat twin motorcycle engine in the extreme nose with its cylinder heads (sometimes) exposed and a single headlight in the extreme nose. Despite the engine mounting, view over the nose was adequate, and unlike the Chicibio, the rear wheels were driven. It used a multi-tube chassis and was available as a monoposto (one-seater, or GP type) or due posti (two-seater, sports racer, when fitted with <b>cycle</b> <b>fenders).</b>|$|R
5000|$|Certain {{types of}} cars with narrow bodies, {{such as the}} Lotus and later Caterham Seven or the Allard J2, use what are called <b>cycle</b> <b>fenders</b> in the US or cycle wings in Britain, for their {{resemblance}} to those used on bicycles. They {{are attached to the}} wheel suspension and remain at a fixed distance from the tire regardless of wheel motion, and can therefore be much closer to the tire than fixed wheel wells. This was popular on early Classic Trials cars because the fenders were lightweight and allowed for a thin streamlined body. They persist on cars wanting a [...] "vintage" [...] look.|$|R
50|$|The {{company was}} {{incorporated}} in October 1915 and presented finished automobiles at the Philadelphia Auto Show in January 1916.It was namesake of the Biddle family, although R. Ralston Biddle {{did not seem}} to have a major role beyond lending the name.Car was an assembled car manufactured in Philadelphia. The first bodies were believed to be from the Fleetwood body company in Fleetwood, Pennsylvania. The first cars were equipped with Buda four-cylinder engines, 3 Bore by 5 stroke and Warner 3-speed transmissions. Some models featured Rudge-Whitworth wire wheels. The bodies were styled in the European tradition. Biddle stood out with V-shaped radiators, angular or <b>cycle</b> <b>fenders,</b> step plates instead of the usual running boards, and dual side-mounted wire wheels when that concept was still strictly European.|$|R
