1|5598|Public
5000|$|CCS-UK - <b>Cargo</b> <b>Community</b> <b>System</b> (for airport movements) run by BT Group ...|$|E
40|$|Electronic {{linkages}} between organisations enabled by interorganisational information systems (IOS) such as Electronic Data Interchange (EDI), Internet- based applications or <b>cargo</b> <b>community</b> <b>systems</b> {{are becoming increasingly}} important. Recently, many {{studies have examined the}} impact of electronic integration in logistics chains. However, {{there is a need to}} examine which factors on the perceived level of an interorganisational partnership are important for the management of information systems. We extend further the information processing model based on Galbraith [1] and Bensaou and Venkatraman [2] in a logistics network context. Their theoretical concept gives some explanations about a fit between information processing requirements, as determined in partnership design, and the information processing capabilities realised in information systems. This was further explored conducting a survey amongst German network organisations of freight forwarders in groupage service or contract logistics as a starting point because of their common usage of different interorganisational information systems. Surprisingly, our study shows only a slight influence of interorganisational tasks on the management of information systems. Moreover, our findings suggest that employment of IOS across firms observed is limited by structural factors (i. e. asset specificity) and nature of interorganisational relationship (i. e. trust, power). These factors are positively associated with satisfaction about information systems usage and performance. [...] interorganisational information systems,information processing model,co-operation,logistics networks,freight forwarder networks...|$|R
40|$|This report {{presents}} a synopsis {{of the responses}} of forwarder and airline air cargo executives to a survey administered in late 1999 and early 2000. The study was directed at understanding information technology adoption and use in the U. S. scheduled air cargo sector. The report investigates dimensions of perceptions of IT, IT adoption, operational performance and airline-forwarder relations in the U. S. scheduled air cargo industry. Technologies include EDI, electronic commerce, <b>cargo</b> <b>community</b> <b>systems,</b> barcoding, tracking and tracing, radio, wireless, and automated vehicle location systems. The study finds that IT adoption is not evenly distributed and varies across several dimensions. It suggests that a strategy of “one size fits all” for information systems is problematic. The development of information systems that do not support firms to invoke their desired modes of differentiation does not engage the existing structure of the industry. Forwarders and airlines and larger and smaller firms have different goals and strategies. To the extent that larger firms have different trust and cooperative relations with their airline partners, they will integrate information systems differently into their supply chains. Smaller firms {{may not be able}} to integrate information systems in the same manner as larger firms. Across dimensions of size and other attributes, these firms require appropriate information technology solutions...|$|R
40|$|Air cargo {{parties are}} {{becoming}} increasingly {{aware of the importance}} of IT and, increasingly, they understand the value that IOS could provide for the total value chain performance. However, whereas in other sectors IOS has scored big successes, there are only fragmented examples of successful global systems in the air <b>cargo</b> <b>community</b> and the penetration of IT in the air cargo industry is by no means pervasive. This paper describes the genesis and evolution of global IOS in the air <b>cargo</b> <b>community.</b> It draws on extensive fieldwork in Europe and in Hong Kong SAR, in addition to reviews of relevant trade and academic literature. The paper provides interesting data on the IT-related dynamics in this specific business network. The objective of this research study is to describe the situation in the air <b>cargo</b> <b>community</b> in such a manner that from this the underlying causes for IT systems 'failures' or `success' can be extracted. By providing an insight into the existing information systems and the evolving dynamics in the air <b>cargo</b> <b>community,</b> we present a number of determinants of IT initiatives in the global air cargo industry. The paper explores the determinants from a theoretical perspective as well as on the basis of empirical data. It concludes with suggestions for further research...|$|R
50|$|Functioning as {{the cargo}} {{handling}} operator for the Dubai International Airport Cargo Gateway, cargo services are provided both regionally and internationally at their overseas airports, handling over 3 {{million tons of}} cargo annually. In 1991, Calogi, an online communication portal was {{set up for the}} <b>cargo</b> <b>community</b> and was {{the first of its kind}} in the region allowing airlines, shippers, freight forwarders and ground handling agents to conduct business anywhere in the world.|$|R
40|$|In this paper, we {{introduce}} our online <b>community</b> <b>system</b> named TelMeA and {{a general}} outline of our social information <b>system.</b> Asynchronous online <b>community</b> <b>system</b> takes a capital part of our social information <b>system</b> because the <b>community</b> <b>system</b> brings out four important functions towards information: information building, information filtering, information editing, and information archiving. Current text-based <b>community</b> <b>systems,</b> however, are insufficient for the social information system because the text-based representation has limits. TelMeA employs scriptable embodied agents for multimodal conversational interface instead of text interface. By means of these agents, TelMeA enhance abilities of online communities as a social information system...|$|R
40|$|A {{multifaceted}} {{program is}} presented that addresses both the operational aspects of Shuttle-cargo integration {{and the needs}} of the STS <b>Cargo</b> <b>Community.</b> The program consists of the following key elements: (1) processing team awareness of cargo needs and requirements; (2) standardization of Orbiter preparation and cargo integration procedures and methods; (3) maximum application of state-of-the-art ADP techniques in all relevant areas; (4) continual review of cargo integration facility and ground system capabilities versus requirements and enhancement; (5) continual assessment of proposed cargo processing changes for safety and other needs; and (6) review of cargo processing philosophies, policies, and concepts for potential improvements...|$|R
40|$|Port <b>Community</b> <b>Systems</b> {{are complex}} Information-Communication Technology systems, and such systems should be {{carefully}} evaluated {{in order to}} determine potential and real monetary benefits which can be derived from their implementation. These benefits can be quantitative or qualitative in nature (subjective). The quantitative benefits can be evaluated in terms of classic project management methodology and financial indicators and methods, while qualitative benefits are best suited to be exploited through strategic analysis. Careful consideration is needed during the analysis, in order to avoid biased input parameters which could obscure the end result. The paper researches Port <b>Community</b> <b>System</b> investment priorities and evaluation, analyzes the prioritization of Port <b>Community</b> <b>System</b> internal subprojects, and investigates risks in Port <b>Community</b> <b>System</b> implementation, based on cost-benefit analysis, return on management and value added analysis...|$|R
40|$|Evaluation of the Business Intelligence (BI) {{competencies}} of port <b>community</b> <b>systems</b> {{before they}} are bought and deployed is a vital importance for establishment of a decision-support environment for managers. This study proposes a new model which provides a simple approach to {{the assessment of the}} BI competencies of port <b>community</b> <b>systems</b> in organization. This approach helps decision-makers to select an enterprise system with appropriate intelligence requirements to support the managers’ decision-making tasks. Thirtyfour criteria for BI specifications are determined from a thorough review of the literature. The proposed model uses the fuzzy TOPSIS technique, which employs fuzzy weights of the criteria and fuzzy judgments of port <b>community</b> <b>systems</b> to compute the evaluation scores and rankings. The application of the model is realized in the evaluation, ranking and selecting of the needed port <b>community</b> <b>systems</b> in a port and maritime organization, in order to validate the proposed model with a real application. With utilizing the proposed model organizations can assess, select, and purchase port <b>community</b> <b>systems</b> which will provide a better decision-support environment for their business systems...|$|R
40|$|In this paper, {{we propose}} a script {{language}} for Personified Media (PM). PM {{is a kind}} of embodied conversational agent that can function as a personal conversational medium in asynchronous <b>community</b> <b>systems.</b> In our <b>community</b> <b>system,</b> participants have their personal PM to communicate with others. Each participant composes multimodal utterances towards his/her own PM in a script language and submits the utterances to the <b>community</b> <b>system</b> by turns. Because the script language of PM is not a language for agent system developers but for participants for online communities, the language should have a structure that users can compose utterances easily and naturally...|$|R
50|$|The Houston <b>Community</b> College <b>System</b> is {{the area}} <b>community</b> college <b>system.</b>|$|R
