1|179|Public
5000|$|... 1985-92 - Chief of Main Navy Staff/1st Deputy <b>Commander-in-Chief,</b> <b>Navy</b> ...|$|E
5000|$|... #Subtitle level 3: <b>Commander-in-Chief,</b> Indian <b>Navy</b> (1950-1955) ...|$|R
5000|$|Paul Boissier SLN2000 Chief Executive, Royal National Lifeboat Institution, Former CB Deputy <b>Commander-in-Chief,</b> British <b>Navy</b> Maritime Forces ...|$|R
5000|$|Vice Admiral Paul Boissier - Former CB Deputy <b>Commander-in-Chief,</b> British <b>Navy</b> Maritime Forces; CEO of Royal National Lifeboat Institution (RNLI) ...|$|R
50|$|Sleeve rank of Israeli <b>Navy</b> <b>Commander-in-Chief</b> is a rank of honor. This {{began as}} special {{permission}} from Lt. General Amnon Lipkin-Shahak (then {{chief of staff}} of the IDF) and allows the <b>Navy</b> <b>Commander-in-Chief</b> to have a sleeve rank of Vice Admiral which is equal to Lt. General, the rank of the IDF Chief of Staff. However the de facto rank of Israeli <b>Navy</b> <b>Commander-in-Chief</b> is Rear Admiral and the gesture given to the navy is ceremonial only when meeting foreign commanding officers.|$|R
50|$|In addition, he {{is noted}} {{for being the}} longest serving <b>commander-in-chief</b> of <b>navy</b> as well as {{responsible}} for launching and introducing the submarine program in the navy.|$|R
5000|$|Admiral Kawee Singha, 26th <b>Commander-in-Chief,</b> Royal Thai <b>Navy</b> ...|$|R
5000|$|Archduke Ferdinand Maximilian, Viceadmiral. <b>Commander-in-Chief</b> of the <b>Navy</b> ...|$|R
5000|$|Archduke Franz Ferdinand, Admiral. <b>Commander-in-Chief</b> of the <b>Navy</b> ...|$|R
5000|$|... #Subtitle level 3: <b>Commander-in-Chief,</b> Royal Indian <b>Navy</b> (1947-1950) ...|$|R
50|$|Andrzej Karweta, 51, Vice Admiral, <b>commander-in-chief</b> of the <b>Navy.</b>|$|R
50|$|Ernest King, <b>Commander-in-Chief,</b> United States <b>Navy.</b> Chief of Naval Operations.|$|R
50|$|January 1943: Karl Dönitz succeeds Raeder as <b>Commander-in-Chief</b> of the <b>Navy.</b>|$|R
25|$|Admiral Hans-Georg von Friedeburg – as German <b>Commander-in-Chief</b> of the <b>Navy</b> (Kriegsmarine).|$|R
5000|$|Second son Lu Jing was {{appointed}} as the <b>commander-in-chief</b> of the <b>navy</b> ...|$|R
50|$|His {{visit to}} Washington, D.C. {{during which he}} {{received}} the Legion of Merit was first official visit of a Russian Federation <b>Navy</b> <b>Commander-in-Chief</b> in eleven years. His predecessors as Russian <b>Navy</b> <b>Commander-in-Chief</b> previously making official visits to Washington were Fleet Admirals Vladimir Chernavin and Felix Gromov. Fleet Admiral Masorin retired in late 2007 after reaching his 60th birthday.|$|R
5000|$|Fourth son Lu Ji was {{appointed}} as the deputy <b>commander-in-chief</b> of the <b>navy</b> ...|$|R
5000|$|Ludwig von Fautz, Viceadmiral. <b>Commander-in-Chief</b> of the <b>Navy</b> and Secretary of the Navy ...|$|R
5000|$|Percy Noble (Royal Navy officer) (1880-1955), British Second World War admiral, Royal <b>Navy</b> <b>Commander-in-Chief,</b> Western Approaches ...|$|R
2500|$|Admiral Sir Richard Spry (1715–1775), Royal <b>Navy</b> <b>Commander-in-Chief,</b> North America and West Indies Station and Mediterranean Fleet ...|$|R
6000|$|... “W. T. SAMPSON, [...] “Rear-Admiral U. S. <b>Navy,</b> <b>Commander-in-Chief</b> [...] U. S. Naval Force, North Atlantic Station.|$|R
50|$|The {{office of}} the Chief of the Naval Staff was created by The Commanders-In-Chief (Change in Designation) Act of the Indian Parliament in 1955, {{replacing}} the erstwhile {{office of the}} <b>Commander-in-Chief,</b> Indian <b>Navy.</b> The office is based at South Block in Raisina Hill.|$|R
50|$|During the Allied Invasion of Normandy Krancke, as <b>Commander-in-Chief</b> of <b>Navy</b> Group Command West {{headquartered}} in Paris, controlled all German naval vessels in France, {{as well as}} the various land-based naval units and the naval coastal artillery and anti-aircraft batteries along the French Atlantic coast.|$|R
5000|$|Maximilian von Sterneck, Admiral. Fought at Lissa, was a benefactor of {{the city}} of Pola and <b>Commander-in-Chief</b> of the <b>Navy.</b>|$|R
50|$|On 27 July 2012, the Russian <b>Navy</b> <b>commander-in-chief</b> {{announced}} that {{construction of the}} Lada-class submarines will resume, having undergone design changes.|$|R
5000|$|President of the Reich (Reichspräsident), Minister of War (Kriegsminister) and <b>Commander-in-Chief</b> of the <b>Navy</b> (Oberbefehlshaber der Kriegsmarine): Grand Admiral Karl Dönitz ...|$|R
50|$|In 1907 Hussar had her {{armament}} {{removed and}} was converted {{to become the}} yacht and despatch vessel for the Royal <b>Navy's</b> <b>Commander-in-Chief,</b> Mediterranean.|$|R
5000|$|Chen Shaokuan (陈绍宽), <b>Commander-in-Chief</b> of the <b>Navy</b> of the Republic of China, former Vice-Gonverner of Fujian Province, Class of 1932 (transferred to Jiangnan Institution of Navy in 1931) ...|$|R
50|$|Admiral Sir Geoffrey John Audley Miles, KCB, KCSI (2 May 1890 - 31 December 1986) was {{a senior}} Royal Navy admiral who served as Deputy Naval Commander, South East Asia Command under Lord Mountbatten during the Second World War, as the Senior British Representative on the Tripartite Naval Commission and as the last <b>Commander-in-Chief,</b> Indian <b>Navy</b> of the unified Royal Indian Navy.|$|R
50|$|In 1958, the {{building}} was renamed Admiralty House, and became the residence of the British Royal <b>Navy</b> <b>Commander-in-Chief,</b> Far East Station. The building was renamed again to ANZUK House in 1971.|$|R
5000|$|Wilhelm von Tegetthoff, Viceadmiral of {{the mid-19th}} century, {{known for his}} role in the Battle of Lissa (1866). He was {{probably}} the most famous Austrian sailor, later also <b>Commander-in-Chief</b> of the <b>Navy.</b>|$|R
50|$|In early 1898, {{during the}} lead-up to the Spanish-American War and {{following}} its first flag {{for an individual}} (the Secretary of War) in 1897, {{it was noted that}} the Army did not have its own flag for the president, the <b>commander-in-chief.</b> The <b>Navy</b> flag was too similar to the Army infantry flag (which was also primarily the Great Seal on a blue background), so a different design was needed.|$|R
50|$|The {{group was}} {{reformed}} on 1 September 1938 as No. 18 (Reconnaissance) Group of Coastal Command for operations with the Royal <b>Navy's</b> <b>Commander-in-Chief,</b> Rosyth, and the Orkney & Shetlands Naval Command. Its headquarters were established at Rosyth.|$|R
50|$|As <b>commander-in-chief</b> of the <b>navy,</b> Nyan Tun oversaw a naval {{standoff}} with Bangladesh, the mending of Burmese-Bangladesh bilateral relations, {{the expansion of}} military relations with India and the modernization of the Burmese Navy, including the acquirement of two frigates from China.|$|R
50|$|On 27 July 2012, the Russian <b>Navy</b> <b>commander-in-chief</b> {{announced}} {{the resumption of}} the construction of the St. Petersburg-class submarines, having undergone extensive design changes. In 2013 and 2015, two further boats were re-laid and commissioning was expected in 2017 and 2018.|$|R
50|$|The new {{political}} succession divided power between Goebbels and Grand Admiral (Großadmiral) Karl Dönitz, the <b>Commander-in-Chief</b> of the <b>Navy</b> (Oberbefehlshaber der Kriegsmarine) {{and chief of}} the Naval High Command (Oberkommando der Marine), who would become President (Reichspräsident) of Nazi Germany.|$|R
