1|118|Public
5000|$|... #Caption: AMP MATE-N-LOK 1-480424-0 Power <b>connector</b> (<b>female</b> pins) ...|$|E
5000|$|... #Caption: XLR3 cable <b>connectors,</b> <b>female</b> on {{left and}} male on right ...|$|R
50|$|Pigtails {{can have}} <b>female</b> or male <b>connectors.</b> <b>Female</b> <b>connectors</b> could be mounted {{in a patch}} panel, often in pairs {{although}} single-fiber solutions exist, {{to allow them to}} be connected to endpoints or other fiber runs with patch fibers. Alternatively they can have male connectors and plug directly into an optical transceiver.|$|R
2500|$|Where XLR {{connectors}} {{are used}} for DC power, the genders are reversed {{with respect to their}} standard use for line-level and mic-level audio. Typically, audio signals on XLR connectors [...] "follow the pin," [...] such that a male connector is an output and a <b>female</b> <b>connector</b> is an input. In most power applications (not just XLR <b>connectors)</b> the <b>female</b> <b>connector</b> is the output and the male connector is the input. This makes accidental contact with live parts less likely. In audio devices it also prevents accidental application of DC power to signal inputs.|$|R
5000|$|I/O ports: composite, RF and DE9 RGB video output, RS-232 (DB25 male + DE9 male {{connector}} {{reserved for the}} mouse), parallel port (DB25 <b>female</b> <b>connector),</b> external floppy connector, DA15 PC joystick <b>female</b> <b>connector,</b> light pen and expansion connector ...|$|R
5000|$|A Speakon {{connector}} {{is designed}} with a locking system {{that may be}} designed for soldered or screw-type connections. Line <b>connectors</b> (<b>female)</b> mate with (male) panel connectors and typically a cable will have identical connectors at both ends. If it is needed to join cables, a coupler can be used (which essentially consists of two panel connectors mounted {{on the ends of}} a plastic tube). Recently the manufacturer has introduced a new series called STX which includes also male line <b>connectors</b> and <b>female</b> panel Speakon <b>connectors</b> are designed to be unambiguous in their use in speaker cables. With 1/4" [...] speaker jacks and XLR connections, it is possible for users to erroneously use low-current shielded microphone or instrument cables in a high-current speaker application. Speakon cables are intended solely for use in high current audio applications.|$|R
50|$|The {{original}} DMX512 1990 {{specified that}} where connectors are used, the data link shall use five-pin XLR style electrical <b>connectors</b> (XLR-5), with <b>female</b> <b>connectors</b> used on transmitting (OUT) ports and male connectors on receiving ports.The {{use of any}} other XLR style connector is prohibited.|$|R
50|$|Port {{connectors}} may be male or <b>female,</b> but <b>female</b> <b>connectors</b> {{are much}} more common. Bent pins are easier to replace on a cable than on a connector attached to a computer, so it was common to use <b>female</b> <b>connectors</b> for the fixed side of an interface.|$|R
50|$|The {{standard}} cables used in DMX512 networks employ XLR5 connectors, with a {{male connector}} on one end and a <b>female</b> <b>connector</b> on the other end. The cable's male connector attaches to the transmitting, female jack (OUT), and its <b>female</b> <b>connector</b> attaches to the receiving, male jack (IN).|$|R
5000|$|Some cords contain {{multiple}} <b>female</b> <b>connectors</b> {{in close}} proximity of one another; others have <b>female</b> <b>connectors</b> spaced {{along the length of}} the cord. Cords generally contain either grounded or ungrounded connectors. While a grounded male connector can be forced into an ungrounded female socket, this is unsafe.|$|R
5000|$|... #Caption: Heathkit {{power supply}} <b>female</b> <b>connector</b> for tube {{equipment}} ...|$|R
5000|$|... #Caption: Schematic symbols {{for male}} and <b>female</b> <b>connector</b> pins ...|$|R
5000|$|... #Caption: An adapter with HDMI (male) and DVI (<b>female)</b> <b>connectors</b> ...|$|R
