1|15|Public
50|$|<b>Cinema</b> <b>promotion</b> {{through the}} Cinematheque Video.|$|E
50|$|During the Closing Gala, {{a prestigious}} ‘Against the Current’ Award, {{presented}} to outstanding film figures for {{their contribution to}} independent <b>cinema</b> and <b>promotion</b> of independent culture, was handed out as well. This year it went to Melissa Leo. An actress left a special imprint of her hands on a special plate, which will {{be located in the}} Kraków Walk of Fame.|$|R
5000|$|The film earned ₱12M on {{its first}} day of showing. And {{after a couple of}} weeks of showing, it earned over ₱100 million pesos. This was {{revealed}} by Star <b>Cinema's</b> Advertising and <b>Promotions</b> Manager Mico del Rosario through his Twitter post on, June 29.|$|R
25|$|In 2005, IFC began a {{partnership}} with Target to promote a selection of independent films, both in Target stores and on IFC Monday nights at 9:00pm Eastern. Originally titled IFC <b>Cinema</b> Red, the <b>promotion</b> was rebranded on-air as The Spotlight in 2007. The in-store headers refer to the selected titles as IFC Indies – Independent films chosen for Target by the Independent Film Channel.|$|R
2500|$|The Orson Welles <b>Cinema’s</b> {{advertising}} and <b>promotion</b> {{were under the}} direction of John Fogle, with ad and poster copy written by Fogle and Larry Jackson. The Welles Cinema’s posters were designed by Jean Fogle. Extra runs of these posters were sold in the lobby. Among Fogle’s outstanding creations was Vintage Hitchcock, a 13" [...] x 18" [...] poster she designed for a month-long Hitchcock series held in 1973.|$|R
50|$|At {{the end of}} the 19th century, as a new invention, {{film was}} {{introduced}} into Shanghai. Between the 1910s and the 1940s, as an important medium for cultural communication and <b>promotion,</b> <b>cinema</b> quickly took root and eventually flourished in the cosmopolitan city of Shanghai. This exhibition hall showcases the historical development of Shanghai cinema in the past century, and introduces visitors the remarkable achievements of Shanghai cinema from six angles: the Origin because of polytehcndlsity.|$|R
40|$|The {{article is}} an {{analysis}} about {{the utilization of}} cinema as didactic component of environmental education (EE). Is questioned {{the adequacy of the}} films for the students as well as the professor's role as mediator and challenger, by proposing activities associated to the exhibition of films in the classroom. Are highlighted the principles for the use of environmental impact <b>cinema</b> in the <b>promotion</b> of the EE, the evaluation of the reception of the movies, the learning, the acquisition of new environmental values and the changing in the behavior. The information that was analyzed indicate a positive effect in the acquisition of knowledge, of the change of attitudes and of the values...|$|R
40|$|After {{the first}} half of this decade, it was {{possible}} to see, especially in Rio de Janeiro and São Paulo, a consistent movement of critic revision of Brazilian <b>cinema</b> through the <b>promotion</b> of retrospective exhibitions and the publication of "catalogue-books" which suggest new approaches to the comprehension of several moments and aspects of the cinema made in Brazil. This article intends to analyze the role of the reviews published in those products as the mediators of a new reception to movies and as a space of legitimating and of cultural authority dispute in order to renew modern criticism tradition consolidated analysis and classification parameters, based on notions as "nation" and "authorship". Thus, the construction of newpolitical and aesthetic canons, as well as the defense of popular genre cinema can be observed...|$|R
50|$|Patuas, {{like the}} Kumars, {{started out in}} the village {{tradition}} as painters of scrolls or pats telling the popular mangal stories of the gods and goddesses. For generations, these scroll painters or patuas have gone from village to village with their scrolls or pat singing stories in return for money or food. Many come from the Midnapore of West Bengal or else from the 24 Parganas and Bhirbhum. The pats or scrolls are made of sheets of paper of equal or different sizes which are sown together and painted with ordinary poster paints. Originally {{they would have been}} painted on cloth and used to tell religious stories such as the medieval mangal poems. Today they may be used to comment on social and political issues such as the evils of <b>cinema</b> or the <b>promotion</b> of literacy.|$|R
5000|$|On March 9, 2017, Neha Aziz of SXSW {{announced}} that Muschietti {{is set to}} appear at a screening event titled, Face Your Fears, to share footage from It, while discussing his inspirations and influences. On March 11, 2017, New Line <b>Cinema</b> showcased its <b>promotion</b> of It, by releasing a teaser trailer and a scene at the South by Southwest festival. Trace Thurman of Bloody Disgusting heralded the trailer: [...] "It was maybe 90 seconds of footage, {{but it was a}} damn impressive 90 seconds of footage ... As far as teasers go, it's one of the best that I've ever seen." [...] Dread Central's Jonathan Barkan praised the scene, and stated, [...] "The kids are clearly very adept at working off one another. There was a chemistry between the four that was wonderful to see and it’s obvious that Muschietti worked very hard to ensure they were believable." [...] Eric Vespe of Ain't It Cool News remarked that [...] "... this one scene shows us the key traits of the bulk {{of the members of the}} Losers Club within one sequence. I loved it for that reason." ...|$|R
40|$|This paper {{deals with}} the problem of the {{desirable}} level of advertising expenditure, the optimal distribution of this expenditure in time and the allocation over the media: TV, radio and newspaper for a recreation park in the Netherlands. Although the model id developed for the specific situation of this park, in principle it can be applied in all situations where the interest is in short-term (day-by-day) effects of promotional activities on sales. Examples are: other situations in the recreation and leisure business, cultural events (theatre, <b>cinema)</b> and sales <b>promotions</b> (e. g. weekend offerings) for products in supermarkets. First a model was specified and estimated that relates number of visitors to advertising effort. It also takes into account non-advertising variables that effect the number of visitors. Then this model was used in a heuristic advertising planning procedure, which by means of incremental analysis, for a given budget level searches for the optimal allocation of the advertising budget over media and time. With this procedure, ways to readjust the advertising policy were found: by allocating the budget differently over media and time and by changing the overall budget level. Several recommendations were made to the management of the park, a number of which have already been implemented...|$|R
