1|46|Public
50|$|EUH204: <b>Contains</b> <b>isocyanates.</b> May {{produce an}} {{allergic}} reaction.|$|E
5000|$|One of {{the most}} {{essential}} types of PPE is respiratory protective equipment (RPE). Nevertheless, {{it should be noted}} that basic RPE does not offer ample protection from the negative effects of isocyanates in human tissue. Paint products <b>containing</b> <b>isocyanates</b> must be handled while donning air-fed RPE that has a 20 or higher APF (assigned protection factor).|$|R
30|$|Indeed, {{the use of}} {{epsilon-caprolactam}} as a blocking {{agent for}} isocyanates is quite common for engineering activators required in two components polyurethane coating systems [6, 7]. Blocking agents allow conserving unreacted isocyanates at storage temperatures. The recurrent presence of caprolactam could indicate activators <b>containing</b> <b>isocyanate</b> groups blocked by epsilon-caprolactam. However, caprolactam could also correspond to a residual product of the HDI cyclic trimer decomposition.|$|R
40|$|A {{mixture of}} {{polyhedral}} oligosilsesquioxanes <b>containing</b> <b>isocyanate</b> {{groups in the}} organic shell of a silsesquioxane core (РOSS-NCO) is synthesized by the reaction of a mixture of polyhedral oli-gosilsesquioxanes with tertiary amine, primary and secondary hydroxylic groups in the organic part of the molecule (РOSS-M) with excess of tolulene diisocyanate. Its derivative is obtained by the reaction of РOSS-NCO with N,N-dimethylaminoethanol. The structure of the synthesized compounds is characterized by GPC, ¹H NMR, and IR spectroscopy...|$|R
40|$|Epoxy resin {{compositions}} {{modified by}} compounds <b>containing</b> <b>isocyanate</b> fragments are recently of considerable scientific and practical interest. However, {{only some of}} them are widely used. Urethane fragments in the molecular structure of epoxy units of oligomeric molecules cause the improvement of the deformation-strength properties of polymer materials. The aim of this work is the development and study of film-forming composites with improved physical, mechanical and chemical properties by modifying the epoxy oligomers by the polyisocyanates...|$|R
30|$|Isocyanates are {{a family}} of highly {{reactive}} and relatively low molecular weight aromatic and aliphatic compounds. The family {{is defined by the}} isocyanate functional group (−N[*]=[*]C[*]=[*]O). Most commercial <b>isocyanates</b> <b>contains</b> one <b>isocyanate</b> group (mono-isocyanates) or two isocyanate groups (di-isocyanates), attached to an aliphatic or an aromatic moiety (Avar et al. 2012). Inhalation of isocyanates is the most important human exposure route and may result in respiratory sensitisation (Kimber & Dearman 2002). There is also limited evidence that dermal contact may result in human respiratory sensitisation (Pronk 2006). The high chemical reactivity of isocyanates are reflected in their toxicity, as exposure to isocyanates {{is one of the most}} common causes of occupational asthma in developed countries (Redlich & Karol 2002; Lockey et al. 2015). Additionally, low concentrations of airborne isocyanates are acutely toxic following inhalation, and the production of <b>isocyanates</b> and products <b>containing</b> <b>isocyanates</b> is therefore heavily regulated from a health and safety at work perspective (Mishra et al. 2009), particularly polyurethane (PU) based foams, fillers and coatings. However, airborne isocyanates have also been sampled in fire effluent from building materials during the early stages of fire development (Blomqvist et al. 2003).|$|R
2500|$|The {{deck and}} {{interior}} woodwork {{is made from}} sustainable 'Kebonised' maple rather than unsustainable tropical hardwoods such as teak and mahogany. A diesel-electric hybrid Beta 25 engine is used to lower fuel consumption, and a solar panel and wind generator are fitted. [...] The deck is glued with Saba adhesive, which is solvent-free and unlike the more commonly used Sikaflex does not <b>contain</b> <b>isocyanates</b> which are linked to asthma and cancer. Linseed-based petrochemical-free Le Tonkinois varnish {{is used for the}} wood, and the hull is painted with Hempasil non-toxic antifoul.|$|R
5000|$|It {{is highly}} {{recommended}} that new employees assigned to handle substances <b>containing</b> <b>isocyanates</b> provide urine samples {{regularly in the}} first few months on the job. This health surveillance practice is an effective means of determining whether the protective and preventive measures are 100% foolproof. One of the benefits of this health monitoring measure is provision of data to confirm that monitoring measures are implemented rigorously. If there are any gaps in procedure, then the shortcomings will be identified early on. Checking that controls are working {{go a long way in}} preventing increased exposure to harmful substances.|$|R
30|$|The W series Spectrum Coating sample {{represents}} {{alone the}} last subgroup. In this case, the Py-GC/MS results {{led to the}} identification of a system based on hydroxyl functional PUD prepared with an acrylic–urethane hybrid resin [19, 20]. The acrylic resin mostly consists of a styrene– 2 EHA copolymer, although, nBA, nBMA and C 8 MA monomeric species were identified as well. The strong peak of 2 -EH can be reasonably explained {{by the use of}} an activator <b>containing</b> <b>isocyanates</b> blocked with 2 -EH. The PUD identification is supported by the presence of the decomposition products PUD eluting at 13.67, 13.75 and 13.85  min, previously reported for the PUD-based coatings from NCP.|$|R
50|$|Isocyanate is the {{functional}} {{group with the}} formula R-N=C=O. Organic compounds that <b>contain</b> an <b>isocyanate</b> group {{are referred to as}} isocyanates. An isocyanate that has two isocyanate groups is known as a di-isocyanate. Di-isocyanates are manufactured for reactions with polyols in the production of polyurethanes, a class of polymers.|$|R
40|$|Surgical {{adhesives}} {{have been}} used for several applications, including haemostasis, sealing air leakages and tissue adhesion. The aim of this work was to develop a biodegradable urethane-based bioadhesive <b>containing</b> free <b>isocyanate</b> groups. This material presents the advantage of being biodegradable, biocompatible and having the capacity of reacting with amino groups present in the biological molecules. [URL]...|$|R
