1|46|Public
5000|$|... #Caption: <b>Chevillier</b> (headstock) of a {{chromatic}} epinette des Vosges ...|$|E
5000|$|Chevilly-Larue was {{originally}} called simply <b>Chevilly.</b> The name <b>Chevilly</b> was recorded {{for the first}} time in 829 (in a donation by Eucade, bishop of Paris) as Civiliacum, probably meaning [...] "estate of Civilis", a Gallo-Roman landowner.|$|R
50|$|<b>Chevilly</b> is {{a railway}} station in <b>Chevilly,</b> Centre-Val de Loire, France. The station was opened on 5 May 1843, and {{is located on}} the Paris-Bordeaux railway line. The station is served by TER (local) {{services}} operated by the SNCF.|$|R
50|$|The Battle of <b>Chevilly</b> {{was fought}} {{during the siege}} of Paris. The battle was the second French sortie from Paris against the German armies. On 30 September 1870 General Joseph Vinoy {{attacked}} the Prussian VI Corps at <b>Chevilly</b> and was easily repulsed.|$|R
50|$|<b>Chevilly</b> {{is first}} {{mentioned}} in 1540 as Chivillier.|$|R
50|$|<b>Chevilly</b> is a commune in the Loiret {{department}} in north-central France.|$|R
5000|$|The fifteenth-century chateau of <b>Chevilly,</b> with a {{dovecote}} and {{seventeenth century}} mill.|$|R
5000|$|... {{there were}} 37 {{students}} from <b>Chevilly</b> who attended schools outside the municipality.|$|R
5000|$|Transformation of the château de <b>Chevilly</b> (Loiret), for Jean-François Perrin de Cypierre.|$|R
50|$|<b>Chevilly</b> is a {{municipality}} in {{the district}} of Morges in the canton of Vaud in Switzerland.|$|R
25|$|February 2007: A 120-meter-long {{section of}} track is {{destroyed}} {{north of the}} <b>Chevilly</b> platform during the A19 highway construction.|$|R
2500|$|... 22 March 1992: A fire {{destroys the}} Aérotrain I80HV and the hangar at <b>Chevilly.</b> After {{clean-up}} operations, only {{the platform is}} left.|$|R
50|$|Columba {{became the}} patroness of Andorra. She {{is said to}} have been patroness of the parish church of <b>Chevilly,</b> in the diocese of Paris.|$|R
5000|$|The {{municipality}} {{was part}} of the Cossonay District until it was dissolved on 31 August 2006, and <b>Chevilly</b> became part of the new district of Morges.|$|R
50|$|Sacleux went to Zanzibar in 1879, and {{was posted}} to Bagamoyo. In 1878 he {{returned}} to France, and took a position at <b>Chevilly.</b> He died at Grasse on 16 May 1943.|$|R
5000|$|Bernard Derosier (born November 10, 1939 in <b>Chevilly,</b> Loiret) is {{a member}} of the National Assembly of France. He {{represents}} the Nord department, [...] and {{is a member}} of the Socialiste, radical, citoyen et divers gauche.|$|R
50|$|The {{municipality}} {{is located}} {{at the foot of the}} Jura Mountains, between the Venoge and Veyron rivers. It consists of the haufendorf village (an irregular, unplanned and quite closely packed village, built around a central square) of <b>Chevilly.</b>|$|R
5000|$|The {{municipalities}} of La Chaux (Cossonay), Chavannes-le-Veyron, <b>Chevilly,</b> Cossonay, Cottens (VD), Cuarnens, Dizy, Eclépens, Ferreyres, Gollion, Grancy, L'Isle, Mauraz, Moiry, Mont-la-Ville, Montricher, Orny, Pampigny, Pompaples, La Sarraz, Senarclens, and Sévery {{came from the}} Cossonay district (District de Cossonay).|$|R
50|$|Between {{its source}} in L'Isle and Lake Geneva, la Venoge runs through Cuarnens, La Chaux, Moiry, <b>Chevilly,</b> Ferreyres, La Sarraz, Éclépens, Lussery-Villars, Daillens, Cossonay, Penthalaz, Penthaz, Gollion, Vufflens-la-Ville, Aclens, Bussigny-près-Lausanne, Bremblens, Échandens, Écublens, Denges, Préverenges to finally reach Saint-Sulpice.|$|R
50|$|The abbey ruins were {{acquired}} by the Count Éric d'Humilly de <b>Chevilly</b> in December 1999. He restored the old buildings which {{became the focus of}} a private business. The abbey is currently available to be hired out for family celebrations and corporate events.|$|R
50|$|During the Franco-Prussian War, the Corps was {{initially}} held back in Silesia against {{the possibility of}} intervention by Austria-Hungary. It only moved up to join the 3rd Army in August 1870. It then participated in the Siege of Paris and the Battle of <b>Chevilly.</b>|$|R
5000|$|In <b>Chevilly</b> about 77 or (36.5%) of the {{population}} have completed non-mandatory upper secondary education, and 41 or (19.4%) have completed additional higher education (either university or a Fachhochschule). Of the 41 who completed tertiary schooling, 48.8% were Swiss men, 39.0% were Swiss women.|$|R
5000|$|On 1 September 2006 the {{municipalities}} of La Chaux (Cossonay), Chavannes-le-Veyron, <b>Chevilly,</b> Cossonay, Cottens (VD), Cuarnens, Dizy, Eclépens, Ferreyres, Gollion, Grancy, L'Isle, Mauraz, Moiry, Mont-la-Ville, Montricher, Orny, Pampigny, Pompaples, La Sarraz, Senarclens and Sévery came from the District de Cossonay to join the Morges District.|$|R
50|$|Louise {{presented}} her daughter, Charlotte Louise, to Louis XV and the queen, Marie Leszczyńska on 26 October 1737 at Fontainebleau. Two days later Charlotte Louise married the Italian Prince of Masserano. The Prince of Masserano was the Spanish ambassador in London.She died at <b>Chevilly,</b> Loiret on 20 August 1780.|$|R
5000|$|<b>Chevilly</b> has an area, , of 3.87 km2. Of this area, 2.9 km2 or 74.9% is {{used for}} {{agricultural}} purposes, while 0.66 km2 or 17.1% is forested. Of {{the rest of the}} land, 0.21 km2 or 5.4% is settled (buildings or roads), 0.01 km2 or 0.3% is either rivers or lakes.|$|R
5000|$|Of the {{population}} in the municipality 63 or about 29.9% were born in <b>Chevilly</b> and lived there in 2000. There were 89 or 42.2% who were born in the same canton, while 33 or 15.6% were born somewhere else in Switzerland, and 22 or 10.4% were born outside of Switzerland.|$|R
5000|$|<b>Chevilly</b> has a {{population}} (...) of [...] , 8.8% of the population are resident foreign nationals. [...] Over the last 10 years (1999-2009 [...] ) the population has changed {{at a rate of}} 13.1%. It has changed at a rate of 0.5% due to migration and at a rate of 12.1% due to births and deaths.|$|R
5000|$|During the Franco-Prussian War of 1870-71, {{he fought}} as a {{lieutenant}} in the Battles of Mezieres, <b>Chevilly,</b> Mont Mesly and Villiers. In 1871 he became captain, in 1872 he was the 19th (1st Württemberg) Uhlans [...] "King William I". In 1874 he was Major and 1876 staff officer. In December 1876 as a squadron leader Eugene was reassigned for the 2 Westphalian Hussar Regiment No. 11 in Düsseldorf.|$|R
5000|$|On 5 September 1921 {{the name}} of the commune officially became Chevilly-Larue in order to {{distinguish}} it from the homonymous commune of <b>Chevilly</b> in the Loiret département. Larue was a hamlet located within the commune. Founded {{at the end of the}} Hundred Years' War along the small road from L'Haÿ-les-Roses to Fresnes, it was originally called La Ruelle (meaning [...] "the lane", the [...] "alleyway"), later corrupted into La Rue and eventually Larue.|$|R
5000|$|... <b>Chevilly</b> had an {{unemployment}} rate of 2.7%. , there were 15 people {{employed in the}} primary economic sector and about 7 businesses involved in this sector. 2 people were employed in the secondary sector and there were 2 businesses in this sector. 2 people were employed in the tertiary sector, with 2 businesses in this sector. [...] There were 109 residents of the municipality who were employed in some capacity, of which females made up 46.8% of the workforce.|$|R
25|$|Martin Hehir {{was born}} near Kildysart, County Clare, Ireland in 1855. He {{graduated}} from Blackrock College in 1887, having obtained a traditional classical education. After teaching {{there for three}} years, Hehir went on to receive theological training at the Theological College in <b>Chevilly</b> outside of Paris and was ordained as a priest in the Congregation of the Holy Ghost in 1883. He came to Pittsburgh in 1884 {{as a professor of}} languages at the Pittsburgh Catholic College. By 1892, he was Vice-President of the College.|$|R
2500|$|Gleyre {{was born}} in <b>Chevilly,</b> near Lausanne. His parents {{died when he was}} eight or nine years old, and he was brought up by an uncle in Lyon, France, who sent him to the city's {{industrial}} school. He began his formal artistic education in Lyon under Bonnefond, before moving to Paris, where he enrolled at the École des Beaux-Arts under Hersent. He also attended the Academie Suisse and studied watercolour technique in the studio of Richard Parkes Bonington. He then went to Italy, where he became acquainted with Horace Vernet and Louis Léopold Robert.|$|R
5000|$|In the 2009/2010 {{school year}} there were a total of 45 {{students}} in the <b>Chevilly</b> school district. In the Vaud cantonal school system, two years of non-obligatory pre-school are provided by the political districts. [...] During the school year, the political district provided pre-school care {{for a total of}} 631 children of which 203 children (32.2%) received subsidized pre-school care. The canton's primary school program requires students to attend for four years. There were 26 students in the municipal primary school program. The obligatory lower secondary school program lasts for six years and there were 19 students in those schools.|$|R
