1|10000|Public
5000|$|A. Hald (2001) [...] "On the History of the <b>Correction</b> <b>for</b> <b>Grouping,</b> 1873-1922", Scandinavian Journal of Statistics, 28, 417 - 428.|$|E
40|$|AbstractSheppard's <b>corrections</b> <b>for</b> <b>grouping</b> can, in {{the case}} of an {{underlying}} normal distribution, be interpreted as a first step to the solution of the maximum likelihood equations which incorporate the grouping problem. This result of Lindley (for the univariate) and Haitovsky (for the bivariate) is generalized to the multivariate normal distribution, making use of recent results in matrix algebra. Also, formulae concerning the efficiency lost in grouping are generalized to the multivariate case...|$|R
40|$|Sheppard's <b>corrections</b> <b>for</b> <b>grouping</b> can, in {{the case}} of an {{underlying}} normal distribution, be interpreted as a first step to the solution of the maximum likelihood equations which incorporate the grouping problem. This result of Lindley (for the univariate) and Haitovsky (for the bivariate) is generalized to the multivariate normal distribution, making use of recent results in matrix algebra. Also, formulae concerning the efficiency lost in grouping are generalized to the multivariate case. Grouped observations Sheppard's corrections maximum likelihood efficiency elimination matrix...|$|R
30|$|Data were {{evaluated}} for normal distribution by Kolmogorov–Smirnov test, and non-parametric tests were applied if required. Statistical significance level was placed at 0.025 by the Bonferroni <b>correction</b> <b>for</b> comparison of <b>groups.</b> Statistical evaluations {{were obtained by}} SPSS 10.0. 7 Chicago Illinois, Medcalc 9.3. 0.0 Belgium or Statcalc 5.0.|$|R
40|$|We {{show how}} {{to obtain the}} {{explicite}} form of the low energy quantum effective action for N = 2 supersymmetric Yang-Mills theory in the weak coupling region from the underlying hyperelliptic Riemann surface. This is achieved by evaluating the integral representation of the fields explicitly. We calculate the leading instanton <b>corrections</b> <b>for</b> the <b>group</b> SU(Nc), SO(N) and SP(2 N) and find that the one-instanton contribution of the prepotentials <b>for</b> the these <b>group</b> coincide with the one obtained recently by using the direct instanton caluculation...|$|R
40|$|Respiration-correlated PET (RCPET) {{can reduce}} motion artifacts, but image quality {{generally}} decreases. The use of phase-by-phase attenuation <b>correction</b> (PAC) <b>for</b> RCPET using respiration-correlated CT (RCCT) requires large computational resources, and tumor positions will not always match correctly because of different binning methods for CT and PET. In this study, we investigated whether PAC for RCPET {{can be replaced}} by midventilation attenuation <b>correction</b> (MidV-AC) <b>for</b> a <b>group</b> of lung cancer patients. status: publishe...|$|R
40|$|AbstractBackgroundTuberculous {{meningitis}} (TBM) and {{herpes simplex}} encephalitis (HSE) are common neurological diseases involving the brain parenchyma, and both can result in chronic epilepsy. Here, we identified possible variables affecting the prognosis of central nervous system (CNS) infection-related epilepsy. MethodsThe clinical seizure characteristics and demographic data of 20 TBM- and 55 HSE-related epilepsy patients were compared. Statistically significant prognostic variables were identified using multiple regression analysis. ResultsSex, age at infection, age at epilepsy onset, presence of seizures {{at the time of}} infection, latency period, and seizure characteristics between two groups were similar except for the pattern of brain lesions observed on the MRI and their overall prognosis. Patients with hippocampal sclerosis (HS) only comprised 30 % and 52. 7 % of the TBM and HSE groups, respectively. Encephalomalacia had a positive effect in the HSE group while HS had a negative effect in this group, but no significant effects were found in the TBM group. Through a multiple regression analysis with a <b>correction</b> <b>for</b> <b>group</b> effects, HS was associated with a poor prognosis. However, encephalomalacia was concomitantly associated with a good prognosis. In addition, a short latency period, with a one-year interval, and being male were both associated with a good prognosis, while the age at the onset of epilepsy was associated with a poor prognosis. ConclusionsThis study suggests that HS and encephalomalacia could have mutual but contradictory effects on the prognosis of CNS infection-related epilepsy...|$|R
40|$|OBJECTIVE: To assess {{health-related}} {{quality of}} life (QL) {{in a group of}} Dutch predialysis end-stage renal disease (ESRD) patients prior to the initiation of dialysis, and to compare QL between patients with different intended initial dialysis treatments. DESIGN: In a prospective cohort study, demographic, clinical, and QL data were obtained from Dutch adult patients who were consecutively enrolled from 27 different centers 0 - 4 weeks prior to the beginning of their chronic dialysis treatment. PATIENTS: Of the 301 patients who completed the QL questionnaires (of a possible 337 enrolled patients), 152 intended to start with hemodialysis (pre-HD) and 149 patients with peritoneal dialysis (pre-PD). MAIN OUTCOME MEASURE: Perceived QL of pre-HD and pre-PD patients. Quality of life was assessed with two generic health assessment instruments: the SF- 36 and the EuroQol. RESULTS: After <b>correction</b> <b>for</b> <b>group</b> differences, pre-HD patients scored consistently, but not significantly, lower for all separate dimensions of the SF- 36 and the overall health score of the EuroQol compared to pre-PD patients. However, analyzing the dimensions of the SF- 36 together, adjusted for case-mix, pre-HD patients scored significantly lower than pre-PD patients. Mean difference was 6. 5 points (p = 0. 04). CONCLUSION: Multivariate adjustment for known case-mix differences at the start of dialysis therapy was not sufficient to adjust for all patient selection effects on QL. Consequently, published QL comparisons between HD and PD in nonrandomized cohort studies should be interpreted with caution. Assessment of QL just before start of dialysis therapy and subsequent adjustment for baseline values may be the only valid alternative for randomized studie...|$|R
40|$|Light curve {{observations}} of the double-mode Cepheid TU Cas obtained by 10 different sets of observers on several photometric systems over a time span of 67 years were carefully studied to determine the fundamental and first overtone periods and their amplitudes on the V magnitude scale. The presence of a second overtone radial pulsation is discussed, and it is concluded that a previous detection of this mode was spurious {{due to the lack}} of a proper zero point <b>correction</b> <b>for</b> two <b>groups</b> of observations. The amplitudes of the two modes are shown to possibly vary during the entire observing period with the fundamental mode amplitude of 0. 69 + or - 0. 03 and the overtone amplitude decreasing about 0. 2 or 0. 3 magnitude. If this Cepheid displays the two pulsation modes because it is mode switching, this switching time scale might be less than a hundred years...|$|R
40|$|This {{bachelor}} thesis {{deals with}} application of MR spectroscopy for determination of metabolite signal intensities and chemical changes in human liver. Measurements were {{performed in a}} magnetic field with induction 3 T using proton and dual proton/phosphorus surface coils. First we did experiments with three chemical solutions. Then we measured MR spectrums of 28 healthy volunteers who were divided into four groups by gender and body mass index (BMI). During measurements with phantoms we found out dual coil range and inappropriateness of adiabatic pulses usage. Also we realized {{that it would be}} necessary to use buffer solutions. During measurements with healthy volunteers we found out {{that it is necessary to}} narmalize signal intensities by water or total phosphate, however, it would not be necessary to use <b>correction</b> factors <b>for</b> <b>groups</b> comparison with different sex and BMI...|$|R
40|$|Single {{platform}} line-transect surveys {{with distance}} sampling {{were carried out}} at eight sites between July and September 2008 to derive density and abundance estimates of harbour porpoises. Over 37 days at sea, a total of 475 track-lines were surveyed for a total distance of 20, 623 km. From the 332 sightings, a total of 618 individual harbour porpoise were recorded. Overall density estimates ranged from 0. 53 to 2. 03 porpoises km 2 (without <b>correction</b> <b>for</b> g(0)). Mean <b>group</b> size varied from 1. 41 to 2. 67. These data provide baseline information to help identify important habitats for harbour porpoise and reference values for monitoring future changes in harbour porpoise distribution and densities in Ireland...|$|R
