1|1694|Public
5000|$|Mexico (MX) and Italy (IT) : <b>country</b> <b>ISO</b> <b>Code</b> is not {{mandatory}} ...|$|E
25|$|Contrary to {{guidelines}} for machine-readable documents, the issuing <b>country’s</b> <b>ISO</b> <b>code</b> (RUS) is not shown at positions 3-5 (i.e. V). Instead, {{the first line}} is formatted as: VSURNAME<not necessarily printed on the visa (depending on the embassy), a photo is required in the visa application. The visa application form may be filled online and submitted to the diplomatic mission.|$|R
5000|$|However, {{although}} Suid-Afrika ("South Africa") {{is used in}} Afrikaans {{rather than}} Zuid-Afrika as in Dutch, South Africa adopted [...] "ZA" [...] as its international vehicle registration code in 1936, which later became the <b>country's</b> <b>ISO</b> <b>country</b> <b>code,</b> with [...]za becoming the country's internet domain.|$|R
5000|$|CHE :ISO <b>country</b> <b>code</b> (<b>ISO</b> 3166-1 alpha-3, three letter code) ...|$|R
50|$|XX: {{represents}} the two letter <b>ISO</b> <b>country</b> <b>code</b> or <b>ISO</b> 3166-1 alpha-2 <b>code</b> (e.g. AU for Australia, US for United States, NZ for New Zealand, GB for United Kingdom).|$|R
50|$|The <b>ISO</b> 4217 <b>code</b> list is used {{in banking}} and {{business}} globally. In many <b>countries</b> the <b>ISO</b> <b>codes</b> for the more common currencies are so well known publicly that exchange rates published in newspapers or posted in banks use only these to delineate the different currencies, instead of translated currency names or ambiguous currency symbols. <b>ISO</b> 4217 <b>codes</b> are used on airline tickets and international train tickets to remove any ambiguity about the price.|$|R
50|$|Croatia uses five-digit {{postal code}} numbers. The Croatian postal service {{recommends}} using 2-letter <b>ISO</b> <b>country</b> <b>codes</b> as prefixes before {{international and domestic}} postal codes, though the practice is not mandatory.|$|R
40|$|In reading tables 1 - 6, {{please note}} the following: – (BW) is the <b>ISO</b> <b>country</b> <b>code</b> (<b>ISO</b> 1366) – 9 {{means that the}} data are {{available}} – MM/YY indicates the month and year when the data should be available – 2004 indicates the data will be available during 2004 – 2005 indicates the data will be available during 2005 – Civil strife indicates data not available due to that reason – ? indicates waiting for an update from the site – NC indicates that the 12 months data has still to be confirmed – * indicates budgetary constraint Table 1 : Southern Africa – Baseline status as at 30 / 06 / 04 Geographical scop...|$|R
30|$|The dataset {{used for}} the {{analysis}} is retrieved from the February, 2016 edition OECD patent database (OECD 2017). In addition, <b>ISO</b> <b>country</b> <b>codes</b> from the OECD REGPAT database (Maraut et al. 2008) are used to sort out patent families by country.|$|R
50|$|The ISO/TC37 {{standards}} are currently elaborated as high level specifications {{and deal with}} word segmentation (ISO 24614), annotations (ISO 24611 a.k.a. MAF, ISO 24612 a.k.a. LAF, ISO 24615 a.k.a. SynAF, and ISO 24617-1 a.k.a. SemAF/Time), feature structures (ISO 24610), multimedia containers (ISO 24616 a.k.a. MLIF), and lexicons (ISO 24613).These {{standards are}} based on low level specifications dedicated to constants, namely data categories (revision of <b>ISO</b> 12620), language <b>codes</b> (<b>ISO</b> 639), scripts <b>codes</b> (<b>ISO</b> 15924), <b>country</b> <b>codes</b> (<b>ISO</b> 3166) and Unicode (ISO 10646).|$|R
50|$|GB and GBR {{are used}} instead of UK in some {{international}} codes {{to refer to the}} United Kingdom, including the Universal Postal Union, international sports teams, NATO, the International Organization for Standardization <b>country</b> <b>codes</b> <b>ISO</b> 3166-2 and ISO 3166-1 alpha-3, and international licence plate codes.|$|R
