1|1076|Public
5000|$|... #Caption: A small <b>concrete</b> <b>road</b> <b>paver</b> {{called a}} [...] "slipform paver" ...|$|E
5000|$|... #Caption: A <b>road</b> <b>paver.</b> The rollers at {{the front}} push the truck along while unloading. The slat {{conveyor}} in the middle drags the asphalt to the back.|$|R
5000|$|Mefalsim (מְפַלְּסִים, lit. <b>Road</b> <b>pavers)</b> is a kibbutz in {{southern}} Israel. Located near the Gaza Strip and covering 11,000 dunams, it {{fall under the}} jurisdiction of Sha'ar HaNegev Regional Council. In [...] it had a population of [...]|$|R
50|$|The local {{production}} facility for China is established in Langfang, near Beijing. The production range includes selected models of WIRTGEN cold milling machines, VÖGELE <b>road</b> <b>pavers</b> and HAMM rollers. Around 380 employees {{work in an}} area of 200.000 m².|$|R
50|$|During the Great Depression, Knoxville's six largest banks either failed or {{were forced}} into mergers. Construction fell 70%, and {{unemployment}} tripled. African Americans were hit hardest, as business owners began hiring whites for jobs traditionally held by black workers, such as bakers, telephone workers, and <b>road</b> <b>pavers.</b> The city was forced pay its employees in scrip, and begged creditors {{to allow it to}} refinance its debt.|$|R
50|$|In general, {{roads in}} India are {{primarily}} bitumen-based macadamised roads. However, {{a few of}} the National Highways have <b>concrete</b> <b>roads</b> too. In some locations, such as in Kanpur, British-built <b>concrete</b> <b>roads</b> are still in use. <b>Concrete</b> <b>roads</b> were less popular prior to the 1990s because of low availability of cement then. However, with large supplies of cement in the country and the virtues of <b>concrete</b> <b>roads,</b> they are gaining popularity. <b>Concrete</b> <b>roads</b> are durable, weather-proof and require lower maintenance compared to bituminous <b>roads.</b> Moreover, new <b>concrete</b> pavement technology has developed such as cool pavement, quiet pavement and permeable pavement, which has rendered it more attractive and eco-friendly.|$|R
2500|$|During the Great Depression, Knoxville's six largest banks either failed or {{were forced}} into mergers. [...] Construction fell 70%, and {{unemployment}} tripled. [...] African Americans were hit hardest, as business owners began hiring whites for jobs traditionally held by black workers, such as bakers, telephone workers, and <b>road</b> <b>pavers.</b> [...] The city was forced pay its employees in scrip, and begged creditors {{to allow it to}} refinance its debt.|$|R
50|$|Jürgen Wirtgen and Stefan Wirtgen {{took over}} the {{management}} of the company in 1997. The expansion of the corporate group began with the integration of the <b>road</b> <b>paver</b> manufacturer Vögele Hamm, a roller manufacturer, was integrated into Wirtgen Group in 1999. High investments in the three production plants resulted in the expansion of production capacities and efficiency, as well as a strong presence for the corporate group on a global scale.|$|R
40|$|Objective: To assess dermal {{exposure}} to bitumen condensate among <b>road</b> <b>pavers</b> and indoor mastic workers in multiple crews using a semi-quantitative observational method [DeRmal Exposure Assessment Method (DREAM) ]. Methods: Two skilled observers assessed {{dermal exposure}} to bitumen condensate among 85 asphalt workers from 12 crews from nine companies active within four European countries using the DREAM methodology, which produces {{an estimate of}} exposure expressed in dimensionless DREAM units. Both observers independently evaluated each crew member's job (N = 14 jobs) for road paving and mastic applications. Potential and actual dermal exposures were estimated for hands {{and for the rest}} of the body separately, taking into account the effect of protective clothing. To evaluate the reproducibility of the observational method intra-class correlation coefficients (ICCs) were estimated. The exposures in DREAM units were modelled using linear mixed models to estimate average relative scores for each job. Correlations between dermal exposure parameters were evaluated by estimating Pearson correlation coefficients. Results: A total of 170 observations were completed by two observers independently (n = 118 and n = 52 for 59 <b>road</b> <b>pavers</b> and 26 mastic workers, respectively) in 11 days. The mean ICCs (for potential and actual exposure in DREAM units) varied between 0. 74 and 0. 80 with values for actual units being slightly higher. Geometric mean potential dermal exposure units of mastic workers were higher than for <b>road</b> <b>pavers</b> (factor 3 for hands and factor 4 for rest of the body). Differences for actual dermal exposure units were smaller for hands (factor 2) and larger for actual exposure units of rest of the body (factor 5). Differences in dermal exposure at the hands between jobs within a paving crew were much larger than between jobs within a mastic crew. Within paving crews, a consistent pattern for all exposure units emerged with 'screed man' and 'raker' as the two highest exposed jobs. Within mastic crews, 'driver dumper truck' and 'spreader of mastic' were scored as the two jobs with the highest exposure units. Potential and actual exposure units were highly correlated. Hands were more profoundly exposed than the rest of the body, with transfer from contaminated surface to the hands as the most important route. Conclusions: DREAM observations were reproducible and showed a consistent dermal exposure pattern among the observed crews. The study provided a clear picture of dermal exposure among <b>road</b> <b>pavers</b> and indoor mastic workers, with the mastic workers being considerably more highly exposed. The most important route of exposure appeared to be transferred from contaminated surfaces to the hands. © The Author 2011...|$|R
500|$|The {{road was}} {{formally}} opened on November 24, 1917, [...] wide and nearly [...] long. It {{was the first}} <b>concrete</b> <b>road</b> in Ontario, {{as well as one}} of the longest stretches of <b>concrete</b> <b>road</b> between two cities in the world.|$|R
2500|$|The highway {{from the}} Uniontown Road north of New Windsor to Union Bridge went under {{construction}} shortly after 1921 and was completed as a <b>concrete</b> <b>road</b> by 1923; this included paving of Main Street in Union Bridge. [...] A macadam road from Libertytown to Johnsville was also completed around 1923. [...] The <b>concrete</b> <b>road</b> in Union Bridge was extended south across Sams Creek into Frederick County, completing the highway in Carroll County, in 1926 and 1927. [...] The following year, [...] of concrete was built north from New London. [...] In 1929 and 1930, the <b>concrete</b> <b>road</b> being constructed north from New London was extended north {{a short distance}} and another concrete segment was started south from Libertytown. [...] Another <b>concrete</b> <b>road</b> was started north from Johnstown toward Union Bridge. [...] The three remaining gaps in modern MD 75Hyattstown to Green Valley, midway between New London and Libertytown, and midway between Johnsville and Union Bridgewere under contract by 1930 and completed as <b>concrete</b> <b>roads</b> by 1933.|$|R
50|$|The Port is {{connected}} to the City Proper with two-lane <b>concreted</b> <b>road</b> from Rizal Avenue and another two-lane <b>concreted</b> <b>road</b> from Malvar Street. Slight traffic is experienced during the arrival and departure of vessels. Yet both approaches have steep slopes giving difficult accessibility to people.|$|R
5000|$|The highway {{from the}} Uniontown Road north of New Windsor to Union Bridge went under {{construction}} shortly after 1921 and was completed as a <b>concrete</b> <b>road</b> by 1923; this included paving of Main Street in Union Bridge. [...] A macadam road from Libertytown to Johnsville was also completed around 1923. [...] The <b>concrete</b> <b>road</b> in Union Bridge was extended south across Sams Creek into Frederick County, completing the highway in Carroll County, in 1926 and 1927. [...] The following year, 1 mi of concrete was built north from New London. [...] In 1929 and 1930, the <b>concrete</b> <b>road</b> being constructed north from New London was extended north {{a short distance}} and another concrete segment was started south from Libertytown. [...] Another <b>concrete</b> <b>road</b> was started north from Johnstown toward Union Bridge. [...] The three remaining gaps in modern MD 75 - Hyattstown to Green Valley, midway between New London and Libertytown, and midway between Johnsville and Union Bridge - were under contract by 1930 and completed as <b>concrete</b> <b>roads</b> by 1933.|$|R
25|$|Milled-in, {{applied to}} {{existing}} hardened asphalt or <b>concrete</b> <b>roads.</b>|$|R
50|$|The modern tram routes run {{completely}} on <b>concrete</b> <b>road.</b>|$|R
5000|$|Milled-in, {{applied to}} {{existing}} hardened asphalt or <b>concrete</b> <b>roads.</b>|$|R
5000|$|Horatio Earle, {{creator of}} the world's first mile of <b>concrete</b> <b>road</b> ...|$|R
2500|$|... {{and work}} began quickly to {{construct}} the road known today as Lake Shore Boulevard and Lakeshore Road from Toronto to Hamilton. The road was finished by 1917, [...] in width and nearly [...] long, becoming the first <b>concrete</b> <b>road</b> in Ontario, {{as well as one}} of the longest stretches of <b>concrete</b> <b>road</b> between two cities in the world.|$|R
25|$|Construction on {{the highway}} between Laytonsville and Damascus began in 1925; a <b>concrete</b> <b>road</b> was built {{from the center of}} Laytonsville west along Brink Road, then north along Woodfield Road to Goshen Branch. The <b>concrete</b> <b>road</b> was {{extended}} to Great Seneca Creek in 1928. The <b>concrete</b> <b>road</b> was started from the Damascus end in 1929 and extended to Woodfield by 1930. The gap between Great Seneca Creek and Woodfield was filled between 1931 and 1933; the highway was signed as MD 124 in the latter year when it was completed. MD 124's present course between Warfield Road and Brink Road was paved as a <b>concrete</b> <b>road</b> by 1950, but it did not become part of MD 124 until 1959. Warfield Road was transferred to Montgomery County and Brink Road from MD 124 to MD 108 became part of MD 420, a designation that lasted until 1974.|$|R
5000|$|... #Caption: Tang Hpre village, after relocation, {{supplied}} with electricity and new <b>concrete</b> <b>roads.</b>|$|R
5000|$|Unknown date 1930s? Short {{section of}} 'experimental' <b>concrete</b> <b>road</b> west of St Asaph ...|$|R
50|$|The complex was {{accessed}} {{from the}} A689 public highway via a single-track <b>concrete</b> <b>road.</b>|$|R
5000|$|... 1909: Creates the World's first mile of <b>concrete</b> <b>road</b> on Woodward Avenue in Detroit.|$|R
40|$|To promote advance {{cement and}} {{concrete}} technologies, concrete pavement technologies, concrete structure design and sustainable concrete technologies and applications, {{to set up}} of world wide network of expert to advance the skill, sharing and exchange experiences and making better understanding with other countries around the world. The event will also be an important driving force {{in the development of}} infrastructure <b>concrete</b> <b>roads,</b> <b>concrete</b> pavement throughout Indonesia, since <b>concrete</b> <b>roads</b> are accepted worldwide as cost effective long-life pavements...|$|R
50|$|He {{was born}} into a poor family in Grodno (Hrodna), then a {{predominantly}} Polish town in the Russian Empire, now within Belarus. His parents were Alter Yablonik, a <b>road</b> <b>paver,</b> and Riva-Lei Shillingoff, and he received a traditional Jewish religious education in cheder and yeshiva. He sang in the choir of Cantor Yoshe Slonimer at the age of ten, and at the age of 12 began performing in the local Jewish theatre. In 1920 he left home to join a Yiddish theatre group, the Kovner Fareynikte Trup (United Troupe of Kovno) traveling around the cities and towns of Lithuania, Poland and Germany.|$|R
2500|$|Kent County {{constructed}} with state aid a [...] <b>concrete</b> <b>road</b> from Galena south to Lambson {{station on the}} Chestertown Branch of the Philadelphia, Baltimore and Washington Railroad between 1915 and 1919. The remainder of MD 290 from Lambson south to the Chester River, including the eastwest segment on River Road, was constructed as a <b>concrete</b> <b>road</b> in 1929 and 1930. This work was funded by a $900,000 bond issue of Kent County used to build [...] of [...] <b>concrete</b> <b>roads</b> in those years. MD 290 was extended south over MD 301's course to Dudley Corners in 1940 to remove a number conflict with US 301, which was extended north from Virginia to Baltimore the same year.|$|R
40|$|This {{study was}} {{conducted}} to clarify the effect of the development of <b>concrete</b> <b>road</b> to the land values, as a case study in Moncongloe District of Maros Regency, Province South Sulawesi, Indonesia, using the technique of cluster sampling survey, the location of the study consisted of three segments based on <b>concrete</b> <b>road</b> construction time. The increase in land values from 2009 to 2013 before and after the development of a <b>concrete</b> <b>road,</b> the distance from the city center and road development costs are measured variables. The analysis showed that the ratio of the value of land and development costs in 2010 road segment I of 0. 93, in 2011 the segment II and segment III at 1. 1...|$|R
5000|$|... #Caption: A {{picture of}} the pits showing {{the remains of the}} <b>concrete</b> <b>roads</b> laid during World War 2 ...|$|R
25|$|MD 299 was paved as a <b>concrete</b> <b>road</b> from Massey to Sassafras in two {{sections}} in 1929 and 1930. The highway from Sassafras to MD 282 in Warwick was completed as a <b>concrete</b> <b>road</b> in 1933. The portion of MD 299 north of US 301 was transferred {{from state to}} county maintenance through a May 8, 1958, road transfer agreement. The highway was widened and resurfaced with bituminous concrete in 1976.|$|R
