1|24|Public
50|$|<b>Coil</b> <b>product</b> {{was usually}} shipped from the Detroit plant via truck.|$|E
50|$|Its subsidiary, AAON <b>Coil</b> <b>Products</b> {{manufactures}} {{a variety}} of heating/cooling products, as well as, coils used in the heating, ventilation, and air conditioning (HVAC) industry and provides coils to AAON {{as well as to}} other customers.|$|R
40|$|MBA, North-West University, Potchefstroom Campus, 2004 The steel {{industry}} is characterised by heavy fluctuations in product demand and fierce competition from players across the globe. It {{is for this}} reason, important for Highveld Steel {{to ensure that their}} strategic decisions are both effective {{and that there is a}} good fit between market conditions and strategies. In this report, the product diversity strategy of Highveld Steel regarding <b>coiled</b> <b>products</b> is evaluated against its efficiency in generating positive contribution margins towards company profitability. This was done by developing a model to quantify the real contribution margin of all <b>coil</b> <b>products</b> produced. In this model, processing time, product downgrading costs and the cost of production downtime due to production delays were quantified and a formula was derived to calculate the cumulative effect of all these variables on product cost. This formula was applied to historical yield information available for the past four years of production. From this, the real contribution of different product categories were calculated and used to identify products with negative or small contribution margins on the one side, as well as products with large contribution margins on the other. It was found that 15 % of all products produced by strip mill at present, have a negative contribution margin and should for that reason, not be produced. The information gathered from the application of the model was used to furnish recommendations on how Highveld's marketing and production departments should go about improving the contribution of <b>coiled</b> <b>products</b> to company profitability. It was proven empirically that Highveld could, in applying the recommendations furnished in this report, generate extra annual contribution on <b>coil</b> <b>products</b> of between 14 and 37 %. The strategy developed was recommended as an interim strategy and it was further recommended that the model developed should be continuously applied and used on a monthly basis to evaluate order acceptance strategies to ensure a good fit between these strategies and prevailing market conditions. Master...|$|R
50|$|In 2005 {{the cold}} rolling and {{finishing}} units, <b>Coil</b> <b>Products</b> Sheffield on Shepcote Lane were closed, {{with the loss}} of over 600 jobs. Production ceased {{in the first half of}} 2006. The company continued the melting shop, special strip cold rolling and finishing, bar rolling, and UK distribution. At the end of March 2008 the Stocksbridge site production ceased after 80 years, with work transferring to its Meadowhall site.|$|R
40|$|Abstract: The paper {{presents}} {{methods of}} analytical determining of forces and pressures effecting in <b>coil</b> – semi-finished <b>product</b> system used during electrodynamical metal forming. Knowledge of this sizes distribution {{allow us to}} show regions of maximal forces in coil heads which are significant to durability of the tool life, {{from the other side}} relations between those forces values acting in <b>coil</b> – semi-finished <b>product</b> system what is decisive in possibility of treating semi-finished product needed shapes. Distributions of forces and pressures were made numerically in make use of mathematical models describing electrodynamical phenomena in systems conducting electrical currents. Key words: <b>coil,</b> semi-finished <b>product,</b> electrodynamical forming, current. ...|$|R
50|$|By the 1970s, the railroad's traffic {{included}} lumber, pulp, paper <b>products,</b> <b>coiled</b> {{steel and}} steel pipe.|$|R
5000|$|BS 4449: Steel for the {{reinforcement}} of concrete. Weldable reinforcing steel. Bar, <b>coil</b> and decoiled <b>product.</b> Specification. (2005/2009) ...|$|R
50|$|In 1956, {{it opened}} an 11000 sq ft {{facility}} in Bedford Heights, Ohio. By 1966, the facility {{had grown to}} 35000 sq ft. The company offered multiple flat-rolled steel <b>products,</b> including <b>coil</b> and plate <b>products.</b>|$|R
50|$|Federal-Mogul Powertrain {{designs and}} {{manufacturers}} original equipment powertrain components and system protection {{products in the}} United States and internationally, its diversified production line consists of various products, ranging from powdered metal parts to space suits, including engine bearings, pistons, piston pins, piston rings, cylinder liners, valve seats and guides, spark plugs, ignition <b>coils,</b> transmission <b>products,</b> technical textiles and connecting rods. Bower Roller Bearing Division was a major supplier of bearings for missiles and aircraft, and for many other industries — automotive, construction machinery, machine tool and farm equipment.|$|R
40|$|A continuous-flow {{apparatus}} {{is described}} for automatically plotting substrate saturation curves, and {{is suitable for}} use {{with a variety of}} enzymes. A linear concentration gradient of the variable substrate is combined with a fixed proportion of the other substrates and the enzyme, and after passing through a reaction <b>coil</b> the <b>product</b> concentrations are measured spectrophotometrically. Use of a 4 cm. flow cell and modified spectrophotometer permits accurate measurement of NADH concentration in the region of 0 · 1 μm. Precise control over reaction times and substrate concentration is achieved by using power-driven syringes with an integral mixer. Specimen results are given for yeast alcohol dehydrogenase...|$|R
40|$|This report {{deals with}} a method for calculating the heating {{capacity}} {{and the length of}} heating coils, required for deep tanks in dry cargo ships. It is based on the theory of natural convection and on experiments, carried out on tanks loaded with mineral oils. The calculating method is set up for some liquid cargoes which are very unfavourable with respect to the required heating capacity and coil length. To facilitate calculations, a number of diagrams is given. The report can also be used for calculating the heating capacity and the length of heating <b>coils</b> for <b>product</b> carriers, intended to carry the same cargoes...|$|R
