1|29|Public
5000|$|... #Caption: <b>Cladding</b> <b>works</b> {{on going}} at the {{entrance}} as of May 2012.|$|E
2500|$|Magnox {{reactors}} are pressurised, carbon dioxide–cooled, graphite-moderated reactors using {{natural uranium}} (i.e. unenriched) as fuel and Magnox alloy as fuel <b>cladding.</b> <b>Working</b> pressure varies from 6.9 to 19.35 bar for the steel pressure vessels, {{and the two}} reinforced concrete designs operated at 24.8 and 27 bar. Magnox alloy consists mainly of magnesium with small amounts of aluminium and other metalsused in cladding unenriched uranium metal fuel with a non-oxidising covering to contain fission products. Magnox is short for Magnesium non-oxidising. This material {{has the advantage of}} a low neutron capture cross-section, but has two major disadvantages: ...|$|R
30|$|Sacks et al. (2013) {{tested the}} {{construction}} safety knowledge of 66 participants {{prior to the}} training, immediately afterward, and 1  month later. The participants {{were divided into two}} groups: one half received traditional classroom training with visual aids; and the other half were trained using a 3 D immersive VR power-wall. The results showed that the VR training provides advantage for specific site activities – e.g. stone <b>cladding</b> <b>work</b> and for cast-in-situ concrete work – but not for general site safety. It was also found that generally the VR training is more effective that the traditional classroom in maintaining the trainees’ attention and concentration.|$|R
40|$|International audienceThis paper {{focuses on}} the hot forging of multi-material <b>cladded</b> <b>work</b> pieces using {{upsetting}} tests. Thecase study corresponds to {{gas metal arc welding}} cladding of a SS 316 L on a mild steel (C 15). Experimentaltests and simulations using a slab model and the finite element method were performed using differenttemperatures and die/billet tribological conditions. As a result, a crack mode, specific to clad billets, wasobserved experimentally and can be predicted by the FE method using a Latham and Cockcroft criterion. The material distribution was well simulated by the FE method; in particular, the effects of the frictionat die/work piece interface on the crack occurrence, the material distribution and, to a lesser extent,the forging load are well predicted. However, the latter was underestimated, highlighting the fact thatthe effect of the dilution associated with the cladding process on the material behavior of the clad layercannot be neglected...|$|R
40|$|Weld {{cladding}} {{is employed}} {{to improve the}} service life of engineering components by increasing corrosion and wear resistance and reducing the cost. The acceptable multi-bead cladding layer depends on single bead geometry. Hence, in first step, the relationship between input process parameters and the single bead geometry is studied and in second step a comprehensive study on multi bead clad layer deposition is carried out. This paper highlights an experimental study carried out to get single layer cladding deposited by automated GMAW process and to find the possibility of hot forming of the <b>cladded</b> <b>work</b> piece to get the final hot formed improved structure. The experiments for single bead were conducted by varying the three main process parameters wire feed rate, arc voltage and welding speed while keeping other parameters like nozzle to work distance, shielding gas and its flow rate and torch angle constant. The effect of bead spacing and torch orientation on the cladding quality of single layer {{from the results of}} single bead deposition was studied. A hot bending test at different temperatures of cladded plates with different dilution and nominal energy carried out...|$|R
60|$|When {{the waiting}} women, <b>clad</b> in net <b>worked</b> with {{spangles}} of gold, had borne away the meats, conjurers appeared who did wonderful feats, amongst other things causing a likeness of Queen Neter-Tua wearing her royal robes {{and having a}} star upon her brow, to arise out of a vase.|$|R
25|$|On 15 June 2013, the Shenzhou 10 crew {{completed}} China's first orbital maintenance operation, replacing Tiangong-1's interior <b>cladding.</b> Additional maintenance <b>work</b> {{was conducted}} on the space station's seal rings. On 20 June, Wang Yaping delivered a remote video lecture from orbit to students across China, demonstrating physics in microgravity with her colleagues. On 24 June, CPC General Secretary Xi Jinping contacted the astronauts via remote video link to congratulate them. After a series of successful docking tests, Shenzhou 10 undocked and returned safely to Earth on 26 June 2013. With a duration of 15 days, Shenzhou 10 was China's longest manned space mission, until Shenzhou 11's 30 day mission to Tiangong-2 in 2016.|$|R
40|$|A b s t r a c t Some of the {{important}} out-of-pile thermo physical and thermo mechanical properties data like solidus temperature, coefficient of thermal expansion, thermal diffusivity/thermal conductivity and hot hardness of hyperstoichiometric mixed carbide fuel of Mark II composition [(U 0. 45 Pu 0. 55) C] have been generated {{as a function of}} temperature for prediction of its in-reactor performance. The out-of-pile chemical compatibility of the fuel with SS 316 (20 % cold <b>worked)</b> <b>cladding</b> material and sodium coolant has also been established experimentally. From the thermophysical properties data generated and out-of-pile chemical compatibility experiments it has been concluded that the Mark II fuel can be operated at a high power and linear heat rate without causing any clad breach...|$|R
40|$|The {{purpose of}} this work is {{to build on the}} results {{reported}} in the M 2 milestone M 2 FT 13 PN 0805051, document number FCRD-USED- 2013 - 000151 (Hanson, 2013). In that work, it was demonstrated that unirradiated samples of zircaloy- 4 cladding could be pre-hydrided at temperatures below 400 °C in pure hydrogen gas and that the growth of hydrides on the surface could be controlled by changing the surface condition of the samples and form a desired hydride rim on the outside diameter of the <b>cladding.</b> The <b>work</b> performed at Pacific Northwest National Laboratory since the issuing of the M 2 milestone has focused its efforts to optimize the formation of a hydride rim on available zircaloy- 4 cladding samples by controlling temperature variation and gas flow control during pre-hydriding treatments. Surface conditioning of the outside surface was also examined as a variable. The results of test indicate that much of the variability in the hydride thickness is due to temperature variation occurring in the furnaces as well as how hydrogen gas flows across the sample surface. Efforts to examine other alloys, gas concentrations, and different surface conditioning plan to be pursed in the next FY as more cladding samples become availabl...|$|R
40|$|In-situ (mobile) repair {{technologies}} {{are used for}} specialised equipment and machinery repairs, as they offer considerable cost reductions and increase the technological lifespan of industrial equipment. Such parts as frames, joints or buckets can be renewed to an excellent standard using insitu technologies. In-situ renovation technology is itself a non-conventional operation, even though the techniques of turning and installation are relatively well studied and developed. Conversely, build-up welding processes can be studied further and potentially substituted by more advanced and economically more viable, modern surface-renovation technologies. Emphasis will be placed on cladding technologies. By examining the literature, {{the objective is to}} identify and justify the most appropriate surface-coating technology. The best results were achieved by Gas metal arc welding, Plasma arc welding and Laser <b>cladding</b> technologies. Experimental <b>work</b> will follow for these three technologies...|$|R
40|$|Conditions were {{optimized}} {{for the first}} plant-scale dissolution of an aluminum-containing nuclear material without using mercury as a catalyst. This nuclear material was a homogeneous mixture of plutonium oxide and aluminum metal that had been compounded for use as the core matrix in Mark 42 nuclear fuel. Because this material had later failed plutonium distribution specifications, it was rejected {{for use in the}} fabrication of Mark 42 fuel tubes, and was stored at the Savannah River Site (SRS) awaiting disposition. This powder-like material was composed of a mixture of approximately 80 percent aluminum and 11 percent plutonium. Historically, aluminum-clad spent nuclear fuels [13] have been dissolved using a mercuric nitrate catalyst in a nitric acid (HNO 3) solution to facilitate the dissolution of the bulk aluminum <b>cladding.</b> Developmental <b>work</b> at SRS indicated that the plutonium oxide/aluminum compounded matrix could be dissolved without mercury. Various mercury-free conditions were studied to evaluate the rate of dissolution of the Mark 42 compact material and to assess the corrosion rate to the stainless steel dissolver. The elimination of mercury from the dissolution process fit with waste minimization and industrial hygiene goals to reduce the use of mercury in the United States. The mercury-free dissolution technology was {{optimized for}} Mark 42 compact material in laboratory-scale tests, and successfully implemented at the plant...|$|R
40|$|The {{effect of}} grain size in wrought Alloy 718 and Waspaloy on the wear of {{cemented}} carbide tools was examined {{by measuring the}} progression of wear in a specific transverse turning operation. Work material with different microstructure was achieved through heat treatments of the material from a single batch, for each alloy. The worn cutting tools were analysed by means of scanning electron microscopy and X-ray microanalysis to study the wear mechanism. The grain size of the work material in relation to undeformed chip thickness is found to control the depth of cut (DOC) notch wear, which is the tool life limiting factor when machining the work material with large grain size. The adhesive wear is shown to dominate on the rake face, but this wear is not tool life limiting since the <b>cladding</b> of <b>work</b> material to the tool surface basically protects the tool from further wear. Concerning the flank wear, machining of Waspaloy is associated with less such wear than machining of Alloy 718 irrespective of grain size. The analysis shows that higher cutting forces and expected cutting resistance due to higher work to fracture cannot explain the difference in flank wear. Instead, from {{the analysis of the}} oxidized surface below the flank wear it is supposed that the difference in tribological conditions is an important factor for flank wear development...|$|R
